metric,district,school,year,behavior,count,rate,share,enrollment,status_flag
discipline_incidents,Brown Deer,Brown Deer Middle/High,2022-23,Drugs and Alcohol,0.0,0.0,0.0,944.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2022-23,Endangering Behavior,16.0,1.69,0.9412,944.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2022-23,Weapon Related,0.0,0.0,0.0,944.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2022-23,Other Violation of School Rules,1.0,0.11,0.0588,944.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2023-24,All incidents,71.0,7.68,,925.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2023-24,Assault,0.0,0.0,0.0,925.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2023-24,Drugs and Alcohol,2.0,0.22,0.0282,925.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2023-24,Endangering Behavior,13.0,1.41,0.1831,925.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2023-24,Weapon Related,1.0,0.11,0.0141,925.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2023-24,Other Violation of School Rules,55.0,5.95,0.7746,925.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2024-25,All incidents,79.0,8.74,,904.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2024-25,Assault,4.0,0.44,0.0506,904.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2024-25,Drugs and Alcohol,3.0,0.33,0.038,904.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2024-25,Endangering Behavior,27.0,2.99,0.3418,904.0,
discipline_incidents,Brown Deer,Brown Deer Middle/High,2024-25,Weapon Related,0.0,0.0,0.0,904.0,None reported
discipline_incidents,Brown Deer,Brown Deer Middle/High,2024-25,Other Violation of School Rules,45.0,4.98,0.5696,904.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2018-19,All incidents,24.0,1.83,,1310.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2018-19,Assault,1.0,0.08,0.0417,1310.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2018-19,Drugs and Alcohol,5.0,0.38,0.2083,1310.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2018-19,Endangering Behavior,2.0,0.15,0.0833,1310.0,
discipline_incidents,Bruce Guadalupe,Bruce Guadalupe,2018-19,Weapon Related,0.0,0.0,0.0,1310.0,None reported
