metric,district,school,group,year,value,yoy_change,pct_change,status_flag,enrollment
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2022-23,6.4,2.8,77.8,,343.0
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2023-24,6.7,0.3,4.7,,342.0
chronic_absenteeism,Fox Point J2,Bayside Middle,Bayside Middle — All Students,2024-25,4.7,-2.0,-29.9,,340.0
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2018-19,3.7,,,,378.0
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2019-20,4.7,1.0,27.0,,387.0
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2020-21,0.5,-4.2,-89.4,,396.0
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2021-22,5.1,4.6,920.0,,413.0
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2022-23,8.6,3.5,68.6,,421.0
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2023-24,6.1,-2.5,-29.1,,429.0
chronic_absenteeism,Fox Point J2,Stormonth Elementary,Stormonth Elementary — All Students,2024-25,4.5,-1.6,-26.2,,422.0
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2018-19,3.1,,,,360.0
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2019-20,4.1,1.0,32.3,,295.0
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2020-21,2.5,-1.6,-39.0,,281.0
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2021-22,4.3,1.8,72.0,,281.0
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2022-23,9.2,4.9,114.0,,293.0
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2023-24,6.8,-2.4,-26.1,,281.0
chronic_absenteeism,Franklin Public,Ben Franklin Elementary,Ben Franklin Elementary — All Students,2024-25,5.8,-1.0,-14.7,,275.0
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2018-19,4.3,,,,513.0
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2019-20,4.3,0.0,0.0,,422.0
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2020-21,2.4,-1.9,-44.2,,411.0
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2021-22,3.1,0.7,29.2,,386.0
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2022-23,6.3,3.2,103.2,,400.0
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2023-24,8.2,1.9,30.2,,391.0
chronic_absenteeism,Franklin Public,Country Dale Elementary,Country Dale Elementary — All Students,2024-25,7.0,-1.2,-14.6,,388.0
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2018-19,4.7,,,,700.0
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2019-20,5.9,1.2,25.5,,1093.0
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2020-21,6.1,0.2,3.4,,1111.0
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2021-22,8.4,2.3,37.7,,1084.0
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2022-23,11.1,2.7,32.1,,1095.0
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2023-24,9.5,-1.6,-14.4,,1077.0
chronic_absenteeism,Franklin Public,Forest Park Middle,Forest Park Middle — All Students,2024-25,8.8,-0.7,-7.4,,1057.0
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2018-19,7.1,,,,1558.0
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2019-20,5.3,-1.8,-25.4,,1529.0
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2020-21,9.1,3.8,71.7,,1541.0
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2021-22,9.4,0.3,3.3,,1580.0
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2022-23,10.2,0.8,8.5,,1548.0
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2023-24,9.5,-0.7,-6.9,,1590.0
chronic_absenteeism,Franklin Public,Franklin High,Franklin High — All Students,2024-25,7.0,-2.5,-26.3,,1592.0
chronic_absenteeism,Franklin Public,Milwaukee County Community Reintegration Center,Milwaukee County Community Reintegration Center — All Students,2023-24,100.0,,,,10.0
chronic_absenteeism,Franklin Public,Milwaukee County Community Reintegration Center,Milwaukee County Community Reintegration Center — All Students,2024-25,66.7,-33.3,-33.3,,12.0
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2018-19,100.0,,,,25.0
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2019-20,87.5,-12.5,-12.5,,8.0
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2020-21,94.4,6.9,7.9,,18.0
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2021-22,100.0,5.6,5.9,,11.0
chronic_absenteeism,Franklin Public,Milwaukee County Correctional Facility South,Milwaukee County Correctional Facility South — All Students,2022-23,94.4,-5.6,-5.6,,18.0
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2018-19,5.7,,,,477.0
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2019-20,4.8,-0.9,-15.8,,416.0
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2020-21,3.3,-1.5,-31.2,,399.0
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2021-22,6.2,2.9,87.9,,406.0
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2022-23,10.1,3.9,62.9,,416.0
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2023-24,7.2,-2.9,-28.7,,388.0
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2024-25,9.4,2.2,30.6,,381.0
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2018-19,3.3,,,,546.0
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2019-20,5.0,1.7,51.5,,436.0
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2020-21,2.8,-2.2,-44.0,,395.0
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2021-22,4.7,1.9,67.9,,429.0
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2022-23,9.1,4.4,93.6,,416.0
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2023-24,8.8,-0.3,-3.3,,407.0
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2024-25,7.2,-1.6,-18.2,,403.0
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2018-19,2.4,,,,377.0
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2019-20,3.8,1.4,58.3,,314.0
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2020-21,1.4,-2.4,-63.2,,345.0
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2021-22,3.4,2.0,142.9,,353.0
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2022-23,6.6,3.2,94.1,,378.0
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2023-24,7.8,1.2,18.2,,357.0
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2024-25,5.2,-2.6,-33.3,,343.0
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2018-19,8.4,,,,570.0
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2019-20,7.1,-1.3,-15.5,,533.0
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2020-21,2.8,-4.3,-60.6,,494.0
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2021-22,9.8,7.0,250.0,,501.0
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2022-23,13.6,3.8,38.8,,493.0
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2023-24,10.0,-3.6,-26.5,,489.0
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2024-25,10.1,0.1,1.0,,483.0
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2018-19,8.2,,,,401.0
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2020-21,2.8,-5.4,-65.9,,387.0
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2021-22,11.2,8.4,300.0,,374.0
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2022-23,13.4,2.2,19.6,,387.0
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2023-24,17.0,3.6,26.9,,400.0
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2024-25,7.4,-9.6,-56.5,,392.0
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2018-19,4.0,,,,379.0
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2019-20,6.6,2.6,65.0,,377.0
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2020-21,100.0,93.4,1415.2,,353.0
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2021-22,3.0,-97.0,-97.0,,369.0
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2022-23,4.9,1.9,63.3,,364.0
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2023-24,4.3,-0.6,-12.2,,348.0
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2024-25,2.3,-2.0,-46.5,,353.0
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2018-19,2.2,,,,272.0
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2019-20,5.5,3.3,150.0,,273.0
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2020-21,14.1,8.6,156.4,,248.0
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2021-22,1.1,-13.0,-92.2,,269.0
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2022-23,2.3,1.2,109.1,,264.0
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2023-24,1.5,-0.8,-34.8,,272.0
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2024-25,2.6,1.1,73.3,,273.0
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2018-19,4.0,,,,879.0
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2019-20,5.1,1.1,27.5,,915.0
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2020-21,9.3,4.2,82.4,,908.0
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2021-22,12.2,2.9,31.2,,915.0
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2022-23,14.0,1.8,14.8,,860.0
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2023-24,12.1,-1.9,-13.6,,861.0
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2024-25,13.2,1.1,9.1,,876.0
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2018-19,4.7,,,,643.0
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2019-20,5.0,0.3,6.4,,646.0
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2020-21,100.0,95.0,1900.0,,628.0
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2021-22,6.7,-93.3,-93.3,,612.0
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2022-23,5.8,-0.9,-13.4,,621.0
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2023-24,5.6,-0.2,-3.4,,611.0
chronic_absenteeism,Greendale,Greendale Middle,Greendale Middle — All Students,2024-25,4.4,-1.2,-21.4,,618.0
chronic_absenteeism,Greendale,Highland View Elementary,Highland View Elementary — All Students,2018-19,5.8,,,,400.0
