metric,group,year,value,yoy_change,pct_change
discipline,Cudahy — All Students,2023-24,406.0,-72.0,-15.062761506276146
discipline,Cudahy — All Students,2024-25,440.0,34.0,8.374384236453203
discipline,Darrell L Hines Academy Inc — All Students,2024-25,180.0,,
discipline,Darrell L. Hines Academy Inc — All Students,2023-24,94.0,,
discipline,"Darrell L. Hines Academy, Inc. — All Students",2022-23,188.0,,
discipline,Darrell Lynn Hines Academy — All Students,2018-19,42.0,,
discipline,Darrell Lynn Hines Academy — All Students,2019-20,2.0,-40.0,-95.23809523809523
discipline,Darrell Lynn Hines Academy — All Students,2020-21,0.0,-2.0,-100.0
discipline,Darrell Lynn Hines Academy — All Students,2021-22,16.0,16.0,inf
discipline,Downtown Montessori — All Students,2018-19,0.0,,
discipline,Downtown Montessori — All Students,2019-20,0.0,0.0,
discipline,Downtown Montessori — All Students,2020-21,0.0,0.0,
discipline,Downtown Montessori — All Students,2021-22,0.0,0.0,
discipline,Downtown Montessori Academy Inc — All Students,2023-24,0.0,,
discipline,Downtown Montessori Academy Inc — All Students,2024-25,0.0,0.0,
discipline,"Downtown Montessori Academy, Inc. — All Students",2022-23,0.0,,
discipline,Dr Howard Fuller Collegiate Academy — All Students,2019-20,140.0,,
discipline,Dr Howard Fuller Collegiate Academy — All Students,2020-21,2.0,-138.0,-98.57142857142858
discipline,Dr Howard Fuller Collegiate Academy — All Students,2021-22,234.0,232.0,11600.0
discipline,Dr Howard Fuller Collegiate Academy Inc — All Students,2024-25,772.0,,
discipline,Dr. Howard Fuller Collegiate Academy Inc — All Students,2023-24,790.0,,
discipline,"Dr. Howard Fuller Collegiate Academy, Inc. — All Students",2022-23,314.0,,
discipline,Escuela Verde — All Students,2018-19,58.0,,
discipline,Escuela Verde — All Students,2019-20,44.0,-14.0,-24.13793103448276
discipline,Escuela Verde — All Students,2020-21,4.0,-40.0,-90.9090909090909
discipline,Escuela Verde — All Students,2021-22,26.0,22.0,550.0
discipline,Fox Point J2 — All Students,2018-19,16.0,,
discipline,Fox Point J2 — All Students,2019-20,0.0,-16.0,-100.0
discipline,Fox Point J2 — All Students,2020-21,34.0,34.0,inf
discipline,Fox Point J2 — All Students,2021-22,48.0,14.0,41.176470588235304
discipline,Fox Point J2 — All Students,2022-23,46.0,-2.0,-4.1666666666666625
discipline,Fox Point J2 — All Students,2023-24,38.0,-8.0,-17.391304347826086
discipline,Fox Point J2 — All Students,2024-25,42.0,4.0,10.526315789473696
discipline,Franklin Public — All Students,2018-19,242.0,,
discipline,Franklin Public — All Students,2019-20,192.0,-50.0,-20.661157024793386
discipline,Franklin Public — All Students,2020-21,196.0,4.0,2.083333333333326
discipline,Franklin Public — All Students,2021-22,216.0,20.0,10.20408163265305
discipline,Franklin Public — All Students,2022-23,278.0,62.0,28.7037037037037
discipline,Franklin Public — All Students,2023-24,292.0,14.0,5.035971223021574
discipline,Franklin Public — All Students,2024-25,348.0,56.0,19.17808219178083
discipline,Glendale-River Hills — All Students,2018-19,80.0,,
discipline,Glendale-River Hills — All Students,2019-20,22.0,-58.0,-72.5
discipline,Glendale-River Hills — All Students,2020-21,0.0,-22.0,-100.0
discipline,Glendale-River Hills — All Students,2021-22,228.0,228.0,inf
discipline,Glendale-River Hills — All Students,2022-23,98.0,-130.0,-57.01754385964912
discipline,Glendale-River Hills — All Students,2023-24,54.0,-44.0,-44.89795918367348
discipline,Glendale-River Hills — All Students,2024-25,274.0,220.0,407.40740740740745
discipline,Greendale — All Students,2018-19,198.0,,
discipline,Greendale — All Students,2019-20,124.0,-74.0,-37.37373737373737
discipline,Greendale — All Students,2020-21,42.0,-82.0,-66.12903225806453
discipline,Greendale — All Students,2021-22,128.0,86.0,204.76190476190476
discipline,Greendale — All Students,2022-23,242.0,114.0,89.0625
discipline,Greendale — All Students,2023-24,190.0,-52.0,-21.487603305785118
discipline,Greendale — All Students,2024-25,244.0,54.0,28.421052631578945
discipline,Greenfield — All Students,2018-19,478.0,,
discipline,Greenfield — All Students,2019-20,356.0,-122.0,-25.52301255230126
discipline,Greenfield — All Students,2020-21,216.0,-140.0,-39.32584269662921
discipline,Greenfield — All Students,2021-22,658.0,442.0,204.62962962962962
discipline,Greenfield — All Students,2022-23,772.0,114.0,17.325227963525847
discipline,Greenfield — All Students,2023-24,1010.0,238.0,30.82901554404145
discipline,Greenfield — All Students,2024-25,1028.0,18.0,1.7821782178217838
discipline,Maple Dale-Indian Hill — All Students,2018-19,20.0,,
discipline,Maple Dale-Indian Hill — All Students,2019-20,30.0,10.0,50.0
discipline,Maple Dale-Indian Hill — All Students,2020-21,0.0,-30.0,-100.0
discipline,Maple Dale-Indian Hill — All Students,2021-22,38.0,38.0,inf
discipline,Maple Dale-Indian Hill — All Students,2022-23,18.0,-20.0,-52.63157894736843
discipline,Maple Dale-Indian Hill — All Students,2023-24,22.0,4.0,22.222222222222232
discipline,Maple Dale-Indian Hill — All Students,2024-25,20.0,-2.0,-9.090909090909093
discipline,Milwaukee — All Students,2018-19,46296.0,,
discipline,Milwaukee — All Students,2019-20,33058.0,-13238.0,-28.594263003283217
discipline,Milwaukee — All Students,2020-21,18.0,-33040.0,-99.9455502450239
discipline,Milwaukee — All Students,2021-22,47615.0,47597.0,264427.7777777778
discipline,Milwaukee — All Students,2022-23,48292.0,677.0,1.4218208547726485
discipline,Milwaukee — All Students,2023-24,47430.0,-862.0,-1.784974737016487
discipline,Milwaukee — All Students,2024-25,45970.0,-1460.0,-3.078220535526044
discipline,Milwaukee Academy of Science — All Students,2018-19,714.0,,
discipline,Milwaukee Academy of Science — All Students,2019-20,826.0,112.0,15.686274509803933
discipline,Milwaukee Academy of Science — All Students,2020-21,4.0,-822.0,-99.51573849878935
discipline,Milwaukee Academy of Science — All Students,2021-22,1336.0,1332.0,33300.0
discipline,Milwaukee Collegiate Academy — All Students,2018-19,616.0,,
discipline,Milwaukee Math and Science Academy — All Students,2018-19,404.0,,
discipline,Milwaukee Math and Science Academy — All Students,2019-20,150.0,-254.0,-62.87128712871287
discipline,Milwaukee Math and Science Academy — All Students,2020-21,0.0,-150.0,-100.0
discipline,Milwaukee Math and Science Academy — All Students,2021-22,0.0,0.0,
discipline,Milwaukee Math and Science Academy Inc — All Students,2024-25,270.0,,
discipline,Milwaukee Math and Science Academy Inc. — All Students,2023-24,262.0,,
discipline,"Milwaukee Math and Science Academy, Inc. — All Students",2022-23,332.0,,
discipline,Milwaukee Scholars Charter School — All Students,2018-19,822.0,,
discipline,Milwaukee Scholars Charter School — All Students,2019-20,372.0,-450.0,-54.74452554744526
discipline,Milwaukee Scholars Charter School — All Students,2020-21,0.0,-372.0,-100.0
discipline,Milwaukee Scholars Charter School — All Students,2021-22,266.0,266.0,inf
discipline,Milwaukee Scholars Charter School Inc — All Students,2023-24,1378.0,,
discipline,Milwaukee Scholars Charter School Inc — All Students,2024-25,2232.0,854.0,61.97387518142234
discipline,"Milwaukee Scholars Charter School, Inc. — All Students",2022-23,758.0,,
discipline,Milwaukee Science Education Consortium Inc — All Students,2023-24,972.0,,
discipline,Milwaukee Science Education Consortium Inc — All Students,2024-25,1520.0,548.0,56.37860082304527
discipline,"Milwaukee Science Education Consortium, Inc. — All Students",2022-23,640.0,,
discipline,Nicolet UHS — All Students,2018-19,68.0,,
discipline,Nicolet UHS — All Students,2019-20,72.0,4.0,5.882352941176472
