metric,dimension,group,district,school,year,value,count,status_flag
chronic_absenteeism,Disability Status,SwD,Cudahy,Kosciuszko Elementary,2024-25,41.2,51.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Kosciuszko Elementary,2024-25,32.3,133.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Lincoln Elementary,2018-19,39.5,38.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Lincoln Elementary,2018-19,16.5,176.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Lincoln Elementary,2019-20,37.2,43.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Lincoln Elementary,2019-20,16.7,168.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Lincoln Elementary,2020-21,30.4,46.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Lincoln Elementary,2020-21,19.6,153.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Lincoln Elementary,2021-22,52.1,48.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Lincoln Elementary,2021-22,50.5,184.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Lincoln Elementary,2022-23,47.1,51.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Lincoln Elementary,2022-23,35.2,165.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Lincoln Elementary,2023-24,42.9,49.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Lincoln Elementary,2023-24,32.2,208.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Lincoln Elementary,2024-25,37.3,59.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Lincoln Elementary,2024-25,35.1,211.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Mitchell Elementary,2018-19,18.4,38.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Mitchell Elementary,2018-19,21.0,162.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Mitchell Elementary,2019-20,8.8,34.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Mitchell Elementary,2019-20,22.5,151.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Mitchell Elementary,2020-21,10.5,38.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Mitchell Elementary,2020-21,17.6,148.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Mitchell Elementary,2021-22,25.0,48.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Mitchell Elementary,2021-22,31.9,163.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Mitchell Elementary,2022-23,18.5,65.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Mitchell Elementary,2022-23,29.7,276.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Mitchell Elementary,2023-24,22.4,67.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Mitchell Elementary,2023-24,20.9,282.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Mitchell Elementary,2024-25,32.0,75.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Mitchell Elementary,2024-25,19.0,242.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Park View Elementary,2018-19,18.2,44.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Park View Elementary,2018-19,16.3,172.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Park View Elementary,2019-20,24.2,33.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Park View Elementary,2019-20,15.5,142.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Park View Elementary,2020-21,28.1,32.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Park View Elementary,2020-21,33.3,132.0,
chronic_absenteeism,Disability Status,SwD,Cudahy,Park View Elementary,2021-22,48.0,25.0,
chronic_absenteeism,Disability Status,SwoD,Cudahy,Park View Elementary,2021-22,42.7,103.0,
chronic_absenteeism,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2018-19,19.0,21.0,
chronic_absenteeism,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2018-19,22.5,213.0,
chronic_absenteeism,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2019-20,20.8,24.0,
chronic_absenteeism,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2019-20,22.5,191.0,
chronic_absenteeism,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2020-21,48.0,25.0,
chronic_absenteeism,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2020-21,35.3,187.0,
chronic_absenteeism,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2021-22,44.0,25.0,
chronic_absenteeism,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2021-22,49.6,141.0,
chronic_absenteeism,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2022-23,47.8,23.0,
chronic_absenteeism,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2022-23,37.0,135.0,
chronic_absenteeism,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2023-24,48.0,25.0,
chronic_absenteeism,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2023-24,38.9,144.0,
chronic_absenteeism,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2024-25,56.0,25.0,
chronic_absenteeism,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2024-25,32.1,134.0,
chronic_absenteeism,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2018-19,,4.0,Suppressed (DPI privacy) — not zero
chronic_absenteeism,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2018-19,,228.0,Suppressed (DPI privacy) — not zero
