metric,subject,unit,district,school,group,year,value,pct_below,pct_notest,yoy_change,pct_change,status_flag,gap_reason,tested,population
forward,math,pct,Shorewood,Atwater Elementary,All Students,2018-19,15.3558,0.0,1.8727,,,,,262.0,267.0
forward,math,pct,Seeds of Health,Seeds of Health Elementary Program,All Students,2018-19,5.7971,0.0,0.0,,,,,276.0,276.0
forward,math,pct,Saint Francis,Willow Glen Primary School,All Students,2018-19,39.6226,0.0,0.0,,,,,53.0,53.0
forward,math,pct,Saint Francis,Deer Creek Intermediate,All Students,2018-19,3.9877,0.0,0.3067,,,,,325.0,326.0
forward,science,pct,Bruce Guadalupe,Bruce Guadalupe,All Students,2018-19,9.6639,0.0,0.0,,,,,238.0,238.0
forward,science,pct,Milwaukee,Garland Elementary,All Students,2018-19,7.563,0.0,2.521,,,,,116.0,119.0
forward,science,pct,Milwaukee,Gaenslen Elementary,All Students,2018-19,1.6129,0.0,0.8065,,,,,123.0,124.0
forward,science,pct,Milwaukee,Fratney Elementary,All Students,2018-19,0.0,0.0,1.8519,,,,,53.0,54.0
forward,science,pct,Milwaukee,Franklin Elementary,All Students,2018-19,1.9231,0.0,3.8462,,,,,50.0,52.0
forward,science,pct,Milwaukee,Forest Home Elementary,All Students,2018-19,2.439,0.0,2.439,,,,,80.0,82.0
forward,science,pct,Milwaukee,Golda Meir School,All Students,2018-19,29.1262,0.0,1.9417,,,,,202.0,206.0
forward,science,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,All Students,2018-19,14.0625,0.0,0.0,,,,,256.0,256.0
forward,science,pct,Milwaukee,Greenfield Bilingual,All Students,2018-19,3.0303,0.0,0.7576,,,,,131.0,132.0
forward,science,pct,Milwaukee,Green Bay Avenue School,All Students,2018-19,0.0,0.0,0.0,,,,,26.0,26.0
forward,science,pct,Milwaukee,Grantosa Drive Elementary,All Students,2018-19,0.0,0.0,1.9608,,,,,100.0,102.0
forward,science,pct,Milwaukee,Grant Elementary,All Students,2018-19,6.015,0.0,1.5038,,,,,131.0,133.0
forward,science,pct,Milwaukee,Goodrich Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,40.0,40.0
forward,science,pct,Milwaukee,Fifty-Third Street Elementary,All Students,2018-19,2.8169,0.0,0.0,,,,,71.0,71.0
forward,science,pct,Milwaukee,Daniels University Preparatory Academy,All Students,2018-19,0.0,0.0,4.878,,,,,39.0,41.0
forward,science,pct,Milwaukee,Daniel Webster Secondary School,All Students,2018-19,3.0303,0.0,0.0,,,,,33.0,33.0
forward,science,pct,Milwaukee,Curtin Elementary,All Students,2018-19,8.1967,0.0,0.0,,,,,61.0,61.0
forward,science,pct,Milwaukee,Craig Montessori School,All Students,2018-19,2.5641,0.0,2.5641,,,,,38.0,39.0
forward,science,pct,Milwaukee,Cooper Elementary,All Students,2018-19,13.4146,0.0,7.3171,,,,,76.0,82.0
forward,science,pct,Milwaukee,Congress Elementary,All Students,2018-19,1.8018,0.0,0.9009,,,,,110.0,111.0
forward,science,pct,Milwaukee,Clement Avenue Elementary,All Students,2018-19,13.9535,0.0,0.0,,,,,86.0,86.0
forward,science,pct,Milwaukee,Doerfler Elementary,All Students,2018-19,2.7523,0.0,1.8349,,,,,107.0,109.0
forward,science,pct,Milwaukee,Eighty-First Street Elementary,All Students,2018-19,1.8519,0.0,1.8519,,,,,53.0,54.0
forward,science,pct,Milwaukee,Fernwood Montessori,All Students,2018-19,20.0,0.0,5.6,,,,,118.0,125.0
forward,science,pct,Milwaukee,Fairview Elementary,All Students,2018-19,10.6557,0.0,0.8197,,,,,121.0,122.0
forward,science,pct,Milwaukee,Engleburg Elementary,All Students,2018-19,0.0,0.0,4.6512,,,,,41.0,43.0
forward,science,pct,Milwaukee,Emerson Elementary,All Students,2018-19,2.7778,0.0,0.0,,,,,36.0,36.0
forward,science,pct,Milwaukee,Elm Creative Arts Elementary,All Students,2018-19,0.0,0.0,3.7037,,,,,52.0,54.0
forward,science,pct,Milwaukee,LaFollette Elementary,All Students,2018-19,0.0,0.0,2.5,,,,,39.0,40.0
forward,science,pct,Milwaukee,La Causa Charter School,All Students,2018-19,2.5157,0.0,0.6289,,,,,158.0,159.0
forward,science,pct,Milwaukee,Kluge Elementary,All Students,2018-19,2.0408,0.0,0.0,,,,,49.0,49.0
forward,science,pct,Milwaukee,King Jr Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,45.0,45.0
forward,science,pct,Milwaukee,King International Baccalaureate Middle,All Students,2018-19,2.2222,0.0,2.963,,,,,131.0,135.0
forward,science,pct,Milwaukee,Kilbourn Elementary,All Students,2018-19,5.4054,0.0,0.0,,,,,37.0,37.0
forward,science,pct,Milwaukee,Keefe Avenue Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,19.0,19.0
forward,science,pct,Milwaukee,Kagel Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,32.0,32.0
forward,science,pct,Milwaukee,Lowell International Elementary,All Students,2018-19,12.5,0.0,0.0,,,,,32.0,32.0
forward,science,pct,Milwaukee,Longfellow Elementary,All Students,2018-19,5.5215,0.0,0.6135,,,,,162.0,163.0
forward,science,pct,Milwaukee,Lincoln Middle,All Students,2018-19,1.6304,0.0,2.1739,,,,,180.0,184.0
forward,science,pct,Milwaukee,Lincoln Avenue Elementary,All Students,2018-19,5.1724,0.0,1.7241,,,,,57.0,58.0
forward,science,pct,Milwaukee,Lancaster Elementary,All Students,2018-19,0.0,0.0,1.8182,,,,,54.0,55.0
forward,science,pct,Milwaukee,Lad Lake Synergy School,[Data Suppressed],2018-19,,,,,,Suppressed by DPI (whole group redacted) — not zero,fully_suppressed,,
forward,science,pct,Milwaukee,Hampton Elementary,All Students,2018-19,2.1277,0.0,2.1277,,,,,46.0,47.0
forward,science,pct,Milwaukee,Highland Community School,All Students,2018-19,16.9492,0.0,0.0,,,,,59.0,59.0
forward,science,pct,Milwaukee,Hi-Mount Elementary,All Students,2018-19,4.6512,0.0,2.3256,,,,,42.0,43.0
forward,science,pct,Milwaukee,Hayes Bilingual School,All Students,2018-19,6.7308,0.0,0.9615,,,,,103.0,104.0
forward,science,pct,Milwaukee,Hawthorne Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,32.0,32.0
forward,science,pct,Milwaukee,Hawley Environmental School,All Students,2018-19,1.7857,0.0,1.7857,,,,,55.0,56.0
forward,science,pct,Milwaukee,Hartford Avenue Elementary,All Students,2018-19,0.8065,0.0,1.6129,,,,,122.0,124.0
forward,science,pct,Milwaukee,Holmes Elementary,All Students,2018-19,0.0,0.0,4.3478,,,,,44.0,46.0
forward,science,pct,Milwaukee,Jackson Elementary,All Students,2018-19,0.0,0.0,2.9412,,,,,33.0,34.0
forward,science,pct,Milwaukee,IDEAL Individualized Developmental Educational Approaches to Learning,All Students,2018-19,14.0845,0.0,0.0,,,,,71.0,71.0
forward,science,pct,Milwaukee,Humboldt Park Elementary,All Students,2018-19,15.2542,0.0,0.8475,,,,,117.0,118.0
forward,science,pct,Milwaukee,Hopkins Lloyd Community School,All Students,2018-19,0.0,0.0,6.5217,,,,,43.0,46.0
forward,science,pct,Milwaukee,Honey Creek Elementary,All Students,2018-19,14.5833,0.0,0.0,,,,,48.0,48.0
forward,science,pct,Greendale,Canterbury Elementary,All Students,2018-19,22.9508,0.0,0.0,,,,,61.0,61.0
forward,science,pct,Glendale-River Hills,Glen Hills Middle,All Students,2018-19,21.6216,0.0,3.1532,,,,,215.0,222.0
forward,science,pct,Franklin Public,Southwood Glen Elementary,All Students,2018-19,48.0,0.0,0.0,,,,,50.0,50.0
forward,science,pct,Franklin Public,Robinwood Elementary,All Students,2018-19,31.7647,0.0,0.0,,,,,85.0,85.0
forward,science,pct,Franklin Public,Pleasant View Elementary,All Students,2018-19,31.5068,0.0,1.3699,,,,,72.0,73.0
forward,science,pct,Franklin Public,Forest Park Middle,All Students,2018-19,28.4916,0.0,0.838,,,,,355.0,358.0
forward,science,pct,Greendale,College Park Elementary,All Students,2018-19,41.3043,0.0,0.0,,,,,46.0,46.0
forward,science,pct,Greenfield,Elm Dale Elementary,All Students,2018-19,21.6216,0.0,0.0,,,,,74.0,74.0
forward,science,pct,Greenfield,Edgewood Elementary,All Students,2018-19,23.4043,0.0,0.0,,,,,47.0,47.0
forward,science,pct,Greendale,Highland View Elementary,All Students,2018-19,24.0506,0.0,0.0,,,,,79.0,79.0
forward,science,pct,Greendale,Greendale Middle,All Students,2018-19,29.2683,0.0,1.4634,,,,,202.0,205.0
forward,science,pct,Franklin Public,Ben Franklin Elementary,All Students,2018-19,21.6667,0.0,0.0,,,,,60.0,60.0
forward,science,pct,Cudahy,Kosciuszko Elementary,All Students,2018-19,25.9259,0.0,0.0,,,,,27.0,27.0
forward,science,pct,Cudahy,Jones Elementary,All Students,2018-19,12.5,0.0,0.0,,,,,16.0,16.0
forward,science,pct,Cudahy,Cudahy Middle,All Students,2018-19,11.6883,0.0,0.0,,,,,154.0,154.0
forward,science,pct,Central City Cyberschool of Milwaukee,Central City Cyberschool,All Students,2018-19,3.0612,0.0,0.0,,,,,98.0,98.0
forward,science,pct,Cudahy,Lincoln Elementary,All Students,2018-19,29.7297,0.0,0.0,,,,,37.0,37.0
forward,science,pct,Franklin Public,Country Dale Elementary,All Students,2018-19,32.5,0.0,1.25,,,,,79.0,80.0
forward,science,pct,Cudahy,Mitchell Elementary,All Students,2018-19,12.1212,0.0,6.0606,,,,,31.0,33.0
forward,science,pct,Fox Point J2,Stormonth Elementary,All Students,2018-19,41.8605,0.0,0.0,,,,,86.0,86.0
forward,science,pct,Fox Point J2,Bayside Middle,All Students,2018-19,51.8072,0.0,2.4096,,,,,81.0,83.0
forward,science,pct,Downtown Montessori Academy,Downtown Montessori,All Students,2018-19,42.4242,0.0,3.0303,,,,,32.0,33.0
forward,science,pct,Darrell L. Hines Academy,Darrell Lynn Hines Academy,All Students,2018-19,0.0,0.0,0.0,,,,,49.0,49.0
forward,science,pct,Cudahy,Park View Elementary,All Students,2018-19,10.2564,0.0,0.0,,,,,39.0,39.0
forward,science,pct,Greenfield,Glenwood Elementary,All Students,2018-19,12.0,0.0,0.0,,,,,50.0,50.0
forward,science,pct,Greenfield,Greenfield Middle,All Students,2018-19,21.2928,0.0,0.7605,,,,,261.0,263.0
forward,science,pct,Milwaukee,Burdick Elementary,All Students,2018-19,19.403,0.0,0.7463,,,,,133.0,134.0
forward,science,pct,Milwaukee,Burbank Elementary,All Students,2018-19,4.7244,0.0,11.0236,,,,,113.0,127.0
forward,science,pct,Milwaukee,Bryant Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,32.0,32.0
forward,science,pct,Milwaukee,Bruce Elementary,All Students,2018-19,0.0,0.0,3.5714,,,,,27.0,28.0
forward,science,pct,Milwaukee,Browning Elementary,All Students,2018-19,1.6393,0.0,0.0,,,,,61.0,61.0
forward,science,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,All Students,2018-19,19.6078,0.0,0.0,,,,,51.0,51.0
forward,science,pct,Milwaukee,Carson Academy,All Students,2018-19,1.1494,0.0,1.1494,,,,,86.0,87.0
forward,science,pct,Milwaukee,Clemens Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,44.0,44.0
forward,science,pct,Milwaukee,Clarke Street Elementary,All Students,2018-19,0.0,0.0,3.7736,,,,,51.0,53.0
forward,science,pct,Milwaukee,Cass Street Elementary,All Students,2018-19,3.75,0.0,1.25,,,,,79.0,80.0
forward,science,pct,Milwaukee,Carver Academy,All Students,2018-19,0.0,0.0,0.0,,,,,81.0,81.0
forward,science,pct,Milwaukee,Brown Street Academy,All Students,2018-19,0.0,0.0,0.0,,,,,53.0,53.0
forward,science,pct,Milwaukee,Allen-Field Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,82.0,82.0
forward,science,pct,Milwaukee,Alcott Elementary,All Students,2018-19,3.9216,0.0,0.0,,,,,51.0,51.0
forward,science,pct,Milwaukee,Academy of Accelerated Learning,All Students,2018-19,18.4211,0.0,0.0,,,,,76.0,76.0
forward,science,pct,Milwaukee,ALBA - Academia de Lenguaje y Bellas Artes,All Students,2018-19,9.0909,0.0,0.0,,,,,55.0,55.0
forward,science,pct,Maple Dale-Indian Hill,Maple Dale School,All Students,2018-19,34.6939,0.0,3.0612,,,,,95.0,98.0
forward,science,pct,Greenfield,Maple Grove Elementary,All Students,2018-19,8.4507,0.0,0.0,,,,,71.0,71.0
forward,science,pct,Milwaukee,Bethune Academy,All Students,2018-19,0.9901,0.0,0.9901,,,,,100.0,101.0
forward,science,pct,Milwaukee,Bay View Montessori School,All Students,2018-19,27.2727,0.0,3.0303,,,,,32.0,33.0
forward,science,pct,Milwaukee,Barton Elementary,All Students,2018-19,2.7027,0.0,0.0,,,,,37.0,37.0
forward,science,pct,Capitol West Academy,Capitol West Academy,All Students,2018-19,7.8125,0.0,1.5625,,,,,63.0,64.0
forward,science,pct,Milwaukee,Auer Avenue Elementary,All Students,2018-19,1.6949,0.0,0.0,,,,,59.0,59.0
forward,science,pct,Milwaukee,Audubon Technology and Communication Middle,All Students,2018-19,4.4872,0.0,1.9231,,,,,153.0,156.0
forward,science,pct,Milwaukee,Andrew Douglas School,All Students,2018-19,0.0,0.0,0.0,,,,,36.0,36.0
forward,science,pct,Milwaukee,Barbee Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,25.0,25.0
forward,math,pct,Milwaukee,Thoreau Elementary,All Students,2018-19,0.3623,0.0,0.0,,,,,276.0,276.0
forward,math,pct,Milwaukee,Bay View Montessori School,All Students,2018-19,3.2258,0.0,1.0753,,,,,92.0,93.0
forward,math,pct,Milwaukee,Barton Elementary,All Students,2018-19,1.9231,0.0,0.0,,,,,104.0,104.0
forward,math,pct,Milwaukee,Barbee Elementary,All Students,2018-19,0.0,0.0,2.0619,,,,,95.0,97.0
forward,math,pct,Milwaukee,Auer Avenue Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,138.0,138.0
forward,math,pct,Milwaukee,Bethune Academy,All Students,2018-19,0.6098,0.0,0.9146,,,,,325.0,328.0
forward,math,pct,Milwaukee,Browning Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,158.0,158.0
forward,math,pct,Milwaukee,Brown Street Academy,All Students,2018-19,0.0,0.0,0.0,,,,,152.0,152.0
forward,math,pct,Milwaukee,Bradley Technology High,[Data Suppressed],2018-19,,,,,,Suppressed by DPI (whole group redacted) — not zero,fully_suppressed,,
forward,math,pct,Milwaukee,Audubon Technology and Communication Middle,All Students,2018-19,0.2304,0.0,1.3825,,,,,428.0,434.0
forward,math,pct,Greenfield,Maple Grove Elementary,All Students,2018-19,1.5075,0.0,0.5025,,,,,198.0,199.0
forward,math,pct,Greenfield,Greenfield Middle,All Students,2018-19,3.4529,0.0,0.3984,,,,,750.0,753.0
forward,math,pct,Greenfield,Glenwood Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,145.0,145.0
forward,math,pct,Maple Dale-Indian Hill,Maple Dale School,All Students,2018-19,17.77,0.0,1.7422,,,,,282.0,287.0
forward,math,pct,Milwaukee,Andrew Douglas School,All Students,2018-19,0.0,0.0,1.0417,,,,,95.0,96.0
forward,math,pct,Milwaukee,Allen-Field Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,260.0,260.0
forward,math,pct,Milwaukee,Alcott Elementary,All Students,2018-19,0.6135,0.0,0.0,,,,,163.0,163.0
forward,math,pct,Milwaukee,Academy of Accelerated Learning,All Students,2018-19,7.1429,0.0,0.0,,,,,238.0,238.0
forward,math,pct,Milwaukee,ALBA - Academia de Lenguaje y Bellas Artes,All Students,2018-19,5.7803,0.0,0.0,,,,,173.0,173.0
forward,math,pct,Milwaukee,Bruce Elementary,All Students,2018-19,1.25,0.0,0.0,,,,,80.0,80.0
forward,math,pct,Milwaukee,Curtin Elementary,All Students,2018-19,0.4878,0.0,0.0,,,,,205.0,205.0
forward,math,pct,Milwaukee,Craig Montessori School,All Students,2018-19,0.0,0.0,0.8264,,,,,120.0,121.0
forward,math,pct,Milwaukee,Cooper Elementary,All Students,2018-19,6.4257,0.0,4.8193,,,,,237.0,249.0
forward,math,pct,Milwaukee,Congress Elementary,All Students,2018-19,0.2841,0.0,1.7045,,,,,346.0,352.0
forward,math,pct,Milwaukee,Daniel Webster Secondary School,All Students,2018-19,0.0,0.0,1.5748,,,,,125.0,127.0
forward,math,pct,Milwaukee,Emerson Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,102.0,102.0
forward,math,pct,Milwaukee,Elm Creative Arts Elementary,All Students,2018-19,0.0,0.0,5.0725,,,,,131.0,138.0
forward,math,pct,Milwaukee,Eighty-First Street Elementary,All Students,2018-19,0.0,0.0,3.6232,,,,,133.0,138.0
forward,math,pct,Milwaukee,Doerfler Elementary,All Students,2018-19,0.0,0.0,0.5865,,,,,339.0,341.0
forward,math,pct,Milwaukee,Daniels University Preparatory Academy,All Students,2018-19,0.0,0.0,4.2735,,,,,112.0,117.0
forward,math,pct,Milwaukee,Bryant Elementary,All Students,2018-19,0.0,0.0,0.0,,,,,78.0,78.0
forward,math,pct,Milwaukee,Clement Avenue Elementary,All Students,2018-19,2.2814,0.0,0.0,,,,,263.0,263.0
forward,math,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,All Students,2018-19,0.5376,0.0,0.0,,,,,186.0,186.0
forward,math,pct,Milwaukee,Carmen Middle School South,All Students,2018-19,1.4925,0.0,0.0,,,,,67.0,67.0
forward,math,pct,Milwaukee,Burdick Elementary,All Students,2018-19,5.7357,0.0,0.4988,,,,,399.0,401.0
forward,math,pct,Milwaukee,Burbank Elementary,All Students,2018-19,2.5281,0.0,7.5843,,,,,329.0,356.0
forward,math,pct,Milwaukee,Carson Academy,All Students,2018-19,0.0,0.0,0.9091,,,,,218.0,220.0
forward,math,pct,Milwaukee,Clemens Elementary,All Students,2018-19,0.6623,0.0,0.6623,,,,,150.0,151.0
forward,math,pct,Milwaukee,Clarke Street Elementary,All Students,2018-19,0.0,0.0,5.0955,,,,,149.0,157.0
