district,school,city,is_city
Milwaukee,Daniel Webster Secondary School,Milwaukee (inferred),True
Milwaukee,Daniels University Preparatory Academy,Milwaukee (inferred),True
Milwaukee,Doerfler Elementary,Milwaukee,True
Milwaukee,Eighty-First Street Elementary,Milwaukee,True
Milwaukee,Elm Creative Arts Elementary,Milwaukee,True
Milwaukee,Emerson Elementary,Milwaukee,True
Milwaukee,Engleburg Elementary,Milwaukee,True
Milwaukee,Fairview Elementary,Milwaukee,True
Milwaukee,Fernwood Montessori,Milwaukee,True
Milwaukee,Fifty-Third Street Elementary,Milwaukee,True
Milwaukee,Forest Home Elementary,Milwaukee,True
Milwaukee,Franklin Elementary,Milwaukee,True
Milwaukee,Fratney Elementary,Milwaukee,True
Milwaukee,Gaenslen Elementary,Milwaukee,True
Milwaukee,Garland Elementary,Milwaukee,True
Milwaukee,Golda Meir School,Milwaukee,True
Milwaukee,Goodrich Elementary,Milwaukee,True
Milwaukee,Grandview High,Milwaukee,True
Milwaukee,Grant Elementary,Milwaukee,True
Milwaukee,Grant Gordon Learning Center,Milwaukee,True
Milwaukee,Grantosa Drive Elementary,Milwaukee,True
Milwaukee,Green Bay Avenue School,Milwaukee (inferred),True
Milwaukee,Green Tree Preparatory Academy,Milwaukee,True
Milwaukee,Greenfield Bilingual,Milwaukee,True
Milwaukee,Groppi High,Milwaukee,True
Milwaukee,HAPA-Hmong American Peace Academy K3-12,Milwaukee,True
Milwaukee,Hamilton High,Milwaukee,True
Milwaukee,Hampton Elementary,Milwaukee,True
Milwaukee,Harold S Vincent School of Agricultural Science,Milwaukee,True
Milwaukee,Hartford Avenue Elementary,Milwaukee,True
Milwaukee,Hawley Environmental School,Milwaukee,True
Milwaukee,Hawthorne Elementary,Milwaukee,True
Milwaukee,Hayes Bilingual School,Milwaukee,True
Milwaukee,Hi-Mount Elementary,Milwaukee,True
Milwaukee,Highland Community School,Milwaukee,True
Milwaukee,Holmes Elementary,Milwaukee,True
Milwaukee,Honey Creek Elementary,Milwaukee,True
Milwaukee,Hopkins Lloyd Community School,Milwaukee,True
Milwaukee,Humboldt Park Elementary,Milwaukee,True
Milwaukee,IDEAL Individualized Developmental Educational Approaches to Learning,Milwaukee,True
Milwaukee,Jackson Elementary,Milwaukee,True
Milwaukee,James Madison Academic Campus,Milwaukee,True
Milwaukee,Kagel Elementary,Milwaukee,True
Milwaukee,Keefe Avenue Elementary,Milwaukee,True
Milwaukee,Kilbourn Elementary,Milwaukee,True
Milwaukee,King International,Milwaukee,True
Milwaukee,King International Baccalaureate Middle,Milwaukee,True
Milwaukee,King Jr Elementary,Milwaukee,True
Milwaukee,Kluge Elementary,Milwaukee,True
Milwaukee,La Causa Charter School,Milwaukee,True
Milwaukee,LaFollette Elementary,Milwaukee,True
Milwaukee,Lad Lake Synergy School,Milwaukee,True
Milwaukee,Lancaster Elementary,Milwaukee,True
Milwaukee,Lee Learning Center,Milwaukee,True
Milwaukee,Lincoln Avenue Elementary,Milwaukee,True
Milwaukee,Lincoln Middle,Milwaukee,True
Milwaukee,Longfellow Elementary,Milwaukee,True
Milwaukee,Lowell International Elementary,Milwaukee,True
Milwaukee,MacDowell Montessori School K3-12,Milwaukee,True
Milwaukee,Manitoba Elementary,Milwaukee,True
Milwaukee,Maple Tree Elementary,Milwaukee,True
Milwaukee,Marshall High,Milwaukee,True
Milwaukee,Maryland Montessori,Milwaukee,True
Milwaukee,Metcalfe Elementary,Milwaukee,True
Milwaukee,Milwaukee Academy of Chinese Language,Milwaukee,True
Milwaukee,Milwaukee College Preparatory School -- 36th Street Campus,Milwaukee,True
Milwaukee,Milwaukee College Preparatory School -- 38th Street,Milwaukee,True
Milwaukee,Milwaukee College Preparatory School -- Lloyd Street,Milwaukee,True
Milwaukee,Milwaukee College Preparatory School: Lola Rowe North Campus,Milwaukee,True
Milwaukee,Milwaukee Community Cyber High,Milwaukee (inferred),True
Milwaukee,Milwaukee County Youth Education Center,Milwaukee,True
Milwaukee,Milwaukee Environmental Science Academy,Milwaukee,True
Milwaukee,Milwaukee Excellence Charter School,Milwaukee,True
Milwaukee,Milwaukee French Immersion,Milwaukee,True
Milwaukee,Milwaukee German Immersion,Milwaukee,True
Milwaukee,Milwaukee High School of the Arts,Milwaukee,True
Milwaukee,Milwaukee Parkside School,Milwaukee,True
Milwaukee,Milwaukee School of Languages,Milwaukee,True
Milwaukee,Milwaukee Sign Language Elementary,Milwaukee,True
Milwaukee,Milwaukee Spanish Immersion,Milwaukee,True
Milwaukee,Mitchell Elementary,Milwaukee,True
Milwaukee,Morgandale Elementary,Milwaukee,True
Milwaukee,Morse Mid,Milwaukee,True
Milwaukee,NOVA Tech-Northwest Opportunities Vocational Academy Technical High,Milwaukee (inferred),True
Milwaukee,NOVA-Northwest Opportunities Vocational Academy,Milwaukee,True
Milwaukee,Neeskara Elementary,Milwaukee,True
Milwaukee,Next Door Charter,Milwaukee,True
Milwaukee,Ninety-Fifth Street Elementary,Milwaukee,True
Milwaukee,North Division High,Milwaukee,True
Milwaukee,Obama School of Career and Technical Education,Milwaukee,True
Milwaukee,Parkview Elementary,Milwaukee,True
