district,school,year,groups_compared,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio,black_rate,white_rate,black_white_ratio,black_overrep_index,black_enrollment
Oak Creek-Franklin Joint,Early Learning Academy,2024-25,4,White,4.29,Asian,0.0,,,4.29,,,
Oak Creek-Franklin Joint,Forest Ridge Elementary,2024-25,5,Black,15.38,Asian,0.0,,15.38,4.35,3.54,3.49,39.0
Oak Creek-Franklin Joint,Meadowview Elementary,2024-25,3,Hispanic,0.0,Hispanic,0.0,,,0.0,,,
Oak Creek-Franklin Joint,Oak Creek East Middle,2024-25,5,White,12.64,Black,0.0,,0.0,12.64,0.0,0.0,33.0
Oak Creek-Franklin Joint,Oak Creek West Middle,2024-25,5,Hispanic,7.03,Black,0.0,,0.0,6.25,0.0,0.0,36.0
Oak Creek-Franklin Joint,Shepard Hills Elementary,2024-25,5,Black,2.63,Hispanic,0.0,,2.63,0.43,6.12,3.65,38.0
Pathways High,Pathways High,2024-25,2,Black,4.23,White,0.0,,4.23,0.0,,1.55,71.0
Rocketship Education Wisconsin,Rocketship Transformation Prep,2024-25,2,Black,12.81,Hispanic,0.0,,12.81,,,1.08,281.0
Saint Francis,Willow Glen Primary School,2024-25,2,White,1.5,Hispanic,0.0,,,1.5,,,
Seeds of Health,Veritas High,2024-25,2,Hispanic,1.28,White,0.0,,,0.0,,,
Shorewood,Atwater Elementary,2024-25,5,Black,2.99,Asian,0.0,,2.99,1.32,2.27,2.34,67.0
Shorewood,Lake Bluff Elementary,2024-25,5,Two or More,1.54,Asian,0.0,,0.0,0.0,,0.0,41.0
Shorewood,Shorewood High,2024-25,5,Black,16.39,Asian,0.0,,16.39,1.29,12.71,5.36,61.0
Shorewood,Shorewood Intermediate,2024-25,4,Two or More,13.64,Black,0.0,,0.0,5.97,0.0,0.0,27.0
South Milwaukee,E W Luther Elementary,2024-25,2,Hispanic,2.22,White,0.0,,,0.0,,,
South Milwaukee,Lakeview Elementary,2024-25,4,Two or More,60.0,Black,0.0,,0.0,13.01,0.0,0.0,23.0
Wauwatosa,East High,2024-25,5,Black,40.23,Asian,0.0,,40.23,5.51,7.3,3.46,174.0
Wauwatosa,Eisenhower Elementary,2024-25,5,Two or More,6.06,Asian,0.0,,4.0,3.09,1.29,1.35,100.0
Wauwatosa,Jefferson Elementary,2024-25,4,Hispanic,4.55,Two or More,0.0,,2.27,0.76,2.99,1.65,44.0
