metric,dimension,group,category,unit,district,school,year,value,count,group_enrollment,status_flag
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Middle/High,2018-19,0.0,0.0,402.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Middle/High,2018-19,8.16,4.0,49.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Middle/High,2018-19,0.0,0.0,49.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Middle/High,2018-19,10.42,5.0,48.0,
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Middle/High,2018-19,0.0,0.0,48.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Middle/High,2018-19,1.42,2.0,141.0,
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Middle/High,2018-19,0.0,0.0,141.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Middle/High,2019-20,,0.0,2.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Middle/High,2019-20,0.0,0.0,2.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Middle/High,2019-20,1.19,1.0,84.0,
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Middle/High,2019-20,0.0,0.0,84.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Middle/High,2019-20,11.95,57.0,477.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Middle/High,2019-20,0.0,0.0,477.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Middle/High,2019-20,14.49,10.0,69.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Middle/High,2019-20,0.0,0.0,69.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Middle/High,2019-20,0.0,0.0,60.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Middle/High,2019-20,0.0,0.0,60.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Middle/High,2019-20,5.62,9.0,160.0,
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Middle/High,2019-20,0.0,0.0,160.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Middle/High,2020-21,,0.0,1.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,1.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,95.0,Zero reported
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,95.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,472.0,Zero reported
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,472.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,61.0,Zero reported
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,61.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,65.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,65.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,146.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Middle/High,2020-21,0.0,0.0,146.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Middle/High,2021-22,,0.0,2.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Middle/High,2021-22,0.0,0.0,2.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Middle/High,2021-22,0.0,0.0,92.0,Zero reported
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Middle/High,2021-22,0.0,0.0,92.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Middle/High,2021-22,3.46,18.0,520.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Middle/High,2021-22,0.0,0.0,520.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Middle/High,2021-22,0.0,0.0,70.0,Zero reported
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Middle/High,2021-22,0.0,0.0,70.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Middle/High,2021-22,4.05,3.0,74.0,
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Middle/High,2021-22,0.0,0.0,74.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Middle/High,2021-22,0.68,1.0,147.0,
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Middle/High,2021-22,0.0,0.0,147.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,114.0,Zero reported
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,114.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Middle/High,2022-23,3.14,17.0,542.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,542.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,83.0,Zero reported
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,83.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,71.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,71.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,134.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Middle/High,2022-23,0.0,0.0,134.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Middle/High,2023-24,0.83,1.0,121.0,
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Middle/High,2023-24,0.0,0.0,121.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Middle/High,2023-24,10.61,56.0,528.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Middle/High,2023-24,0.0,0.0,528.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Middle/High,2023-24,2.38,2.0,84.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Middle/High,2023-24,0.0,0.0,84.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Middle/High,2023-24,2.9,2.0,69.0,
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Middle/High,2023-24,0.0,0.0,69.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Middle/High,2023-24,8.13,10.0,123.0,
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Middle/High,2023-24,0.0,0.0,123.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Brown Deer,Brown Deer Middle/High,2024-25,,0.0,3.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Brown Deer,Brown Deer Middle/High,2024-25,0.0,0.0,3.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Brown Deer,Brown Deer Middle/High,2024-25,1.64,2.0,122.0,
discipline,Race/Ethnicity,Asian,expulsion,count,Brown Deer,Brown Deer Middle/High,2024-25,0.0,0.0,122.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Brown Deer,Brown Deer Middle/High,2024-25,10.92,57.0,522.0,
discipline,Race/Ethnicity,Black,expulsion,count,Brown Deer,Brown Deer Middle/High,2024-25,0.0,0.0,522.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Brown Deer,Brown Deer Middle/High,2024-25,19.48,15.0,77.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Brown Deer,Brown Deer Middle/High,2024-25,0.0,0.0,77.0,Zero reported
discipline,Race/Ethnicity,Pacific Isle,suspension,rate,Brown Deer,Brown Deer Middle/High,2024-25,,0.0,2.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Pacific Isle,expulsion,count,Brown Deer,Brown Deer Middle/High,2024-25,0.0,0.0,2.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Brown Deer,Brown Deer Middle/High,2024-25,0.0,0.0,74.0,Zero reported
discipline,Race/Ethnicity,Two or More,expulsion,count,Brown Deer,Brown Deer Middle/High,2024-25,0.0,0.0,74.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Brown Deer,Brown Deer Middle/High,2024-25,1.92,2.0,104.0,
discipline,Race/Ethnicity,White,expulsion,count,Brown Deer,Brown Deer Middle/High,2024-25,0.0,0.0,104.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2018-19,,0.0,1.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Asian,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2018-19,0.0,0.0,1.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2018-19,,0.0,2.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Black,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2018-19,0.0,0.0,2.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2018-19,1.87,24.0,1281.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2018-19,0.0,0.0,1281.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2018-19,,0.0,3.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Two or More,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2018-19,0.0,0.0,3.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2018-19,0.0,0.0,23.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2018-19,0.0,0.0,23.0,Zero reported
discipline,Race/Ethnicity,Asian,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2019-20,,0.0,1.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Asian,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2019-20,0.0,0.0,1.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2019-20,,0.0,4.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Black,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2019-20,0.0,0.0,4.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2019-20,3.67,48.0,1307.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2019-20,0.0,0.0,1307.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2019-20,,0.0,3.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Two or More,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2019-20,0.0,0.0,3.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2019-20,2.08,1.0,48.0,
discipline,Race/Ethnicity,White,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2019-20,0.0,0.0,48.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2020-21,,0.0,1.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2020-21,0.0,0.0,1.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2020-21,,0.0,5.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Black,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2020-21,0.0,0.0,5.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2020-21,0.46,6.0,1318.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2020-21,0.0,0.0,1318.0,Zero reported
discipline,Race/Ethnicity,Two or More,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2020-21,,0.0,3.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Two or More,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2020-21,0.0,0.0,3.0,Zero reported
discipline,Race/Ethnicity,White,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2020-21,0.0,0.0,49.0,Zero reported
discipline,Race/Ethnicity,White,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2020-21,0.0,0.0,49.0,Zero reported
discipline,Race/Ethnicity,Amer Indian,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2021-22,,0.0,1.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Amer Indian,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2021-22,0.0,0.0,1.0,Zero reported
discipline,Race/Ethnicity,Black,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2021-22,,0.0,9.0,Group under 20 students — rate omitted
discipline,Race/Ethnicity,Black,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2021-22,0.0,0.0,9.0,Zero reported
discipline,Race/Ethnicity,Hispanic,suspension,rate,Bruce Guadalupe,Bruce Guadalupe,2021-22,3.62,50.0,1381.0,
discipline,Race/Ethnicity,Hispanic,expulsion,count,Bruce Guadalupe,Bruce Guadalupe,2021-22,0.0,0.0,1381.0,Zero reported
