metric,dimension,group,subject,unit,district,school,year,value,pct_below,pct_notest,avg_score,gap_reason,tested,population,status_flag
act,Race/Ethnicity,Two or More,reading,pct,Greendale,Greendale High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Disability Status,SwD,reading,pct,Milwaukee,James Madison Academic Campus,2019-20,0.0,0.0,86.8421,13.8,,5.0,38.0,
act,Disability Status,SwoD,reading,pct,Milwaukee,James Madison Academic Campus,2019-20,0.0,0.0,31.3131,13.1,,68.0,99.0,
act,Gender,Female,reading,pct,Milwaukee,Project STAY-Supporting Teachers and Youth,2019-20,0.0,0.0,68.75,13.9,,10.0,32.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,Milwaukee Community Cyber High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,West Allis-West Milwaukee,Central High,2019-20,0.0,0.0,7.2398,17.9,,205.0,221.0,
act,All Students,All Students,reading,pct,Whitnall,Whitnall High,2019-20,0.0,0.0,6.8293,21.2,,191.0,205.0,
act,Race/Ethnicity,Black,reading,pct,Greendale,Greendale High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,EL Status,EL,reading,pct,Milwaukee,Marshall High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Disability Status,SwoD,reading,pct,Milwaukee,Hamilton High,2019-20,0.0,0.0,16.9492,15.7,,147.0,177.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,Marshall High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,Black,reading,pct,Milwaukee,ASSATA High,2019-20,0.0,0.0,47.3684,14.1,,10.0,19.0,
act,Gender,Female,reading,pct,Milwaukee,Obama School of Career and Technical Education,2019-20,0.0,0.0,34.6154,13.8,,17.0,26.0,
act,Economic Status,Not Econ Disadv,reading,pct,Milwaukee,MacDowell Montessori School K3-12,2019-20,0.0,0.0,0.0,13.2,,10.0,10.0,
act,All Students,All Students,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,0.0,0.0,26.1905,14.6,,31.0,42.0,
act,Economic Status,Econ Disadv,reading,pct,Milwaukee,Carmen High School of Science and Technology Southeast Campus,2019-20,0.0,0.0,2.1583,15.7,,136.0,139.0,
act,Migrant Status,Not Migrant,reading,pct,Greendale,Greendale High,2019-20,0.0,0.0,3.3493,22.1,,202.0,209.0,
act,Disability Status,SwoD,reading,pct,Whitnall,Whitnall High,2019-20,0.0,0.0,3.8674,21.3,,174.0,181.0,
act,Disability Status,SwD,reading,pct,Whitnall,Whitnall High,2019-20,0.0,0.0,29.1667,19.5,,17.0,24.0,
act,Gender,Female,reading,pct,Milwaukee,Carmen High School of Science and Technology South Campus,2019-20,0.0,0.0,1.8182,18.6,,54.0,55.0,
act,All Students,All Students,reading,pct,West Allis-West Milwaukee,Nathan Hale High,2019-20,0.0,0.0,6.4103,19.5,,292.0,312.0,
act,Migrant Status,Not Migrant,reading,pct,Pathways High,Pathways High,2019-20,0.0,0.0,0.0,17.3,,35.0,35.0,
act,Race/Ethnicity,Asian,reading,pct,Greendale,Greendale High,2019-20,0.0,0.0,0.0,19.2,,13.0,13.0,
act,Disability Status,SwoD,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,0.0,0.0,2.9289,26.6,,232.0,239.0,
act,Disability Status,SwD,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,0.0,0.0,20.0,18.8,,20.0,25.0,
act,Economic Status,Not Econ Disadv,reading,pct,West Allis-West Milwaukee,Central High,2019-20,0.0,0.0,6.4103,19.6,,73.0,78.0,
act,Economic Status,Econ Disadv,reading,pct,West Allis-West Milwaukee,Central High,2019-20,0.0,0.0,7.6923,17.0,,132.0,143.0,
act,All Students,All Students,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,0.0,0.0,4.5455,26.0,,252.0,264.0,
act,Economic Status,Econ Disadv,reading,pct,Franklin Public,Franklin High,2019-20,0.0,0.0,1.6129,18.9,,61.0,62.0,
act,Economic Status,Not Econ Disadv,reading,pct,Franklin Public,Franklin High,2019-20,0.0,0.0,3.6254,22.8,,319.0,331.0,
act,Gender,Male,reading,pct,Milwaukee,Obama School of Career and Technical Education,2019-20,0.0,0.0,26.6667,13.1,,33.0,45.0,
act,EL Status,EL,reading,pct,Milwaukee,Milwaukee Community Cyber High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Gender,Male,reading,pct,Milwaukee,Project STAY-Supporting Teachers and Youth,2019-20,0.0,0.0,73.5294,15.4,,9.0,34.0,
act,Race/Ethnicity,Pacific Isle,reading,pct,Seeds of Health,Tenor High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,Pacific Isle,reading,pct,Oak Creek-Franklin Joint,Oak Creek High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,Amer Indian,reading,pct,Milwaukee,North Division High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Milwaukee,Project STAY-Supporting Teachers and Youth,2019-20,0.0,0.0,71.2121,14.6,,19.0,66.0,
act,Disability Status,SwoD,reading,pct,Milwaukee,Golda Meir School,2019-20,0.0,0.0,1.1364,18.0,,87.0,88.0,
act,Gender,Male,reading,pct,Milwaukee,Milwaukee School of Languages,2019-20,0.0,0.0,19.7183,17.2,,57.0,71.0,
act,Race/Ethnicity,Black,reading,pct,Milwaukee,Hamilton High,2019-20,0.0,0.0,25.0,14.1,,63.0,84.0,
act,Race/Ethnicity,Asian,reading,pct,Milwaukee,Hamilton High,2019-20,0.0,0.0,4.3478,15.6,,22.0,23.0,
act,All Students,All Students,reading,pct,Milwaukee,Pulaski High,2019-20,0.0,0.0,29.3413,13.1,,118.0,167.0,
act,EL Status,EL,reading,pct,Shorewood,Shorewood High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,EL Status,EL,reading,pct,Milwaukee,Harold S Vincent School of Agricultural Science,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,White,reading,pct,Milwaukee,Reagan College Preparatory High,2019-20,0.0,0.0,4.3478,24.3,,88.0,92.0,
act,Race/Ethnicity,Two or More,reading,pct,Milwaukee,Reagan College Preparatory High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Milwaukee,Reagan College Preparatory High,2019-20,0.0,0.0,2.7397,21.3,,355.0,365.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,Harold S Vincent School of Agricultural Science,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Migrant Status,Not Migrant,reading,pct,Milwaukee,Shalom High,2019-20,0.0,0.0,31.8182,12.9,,15.0,22.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,Vincent Accelerated Academy,2019-20,0.0,0.0,100.0,,,,14.0,
act,EL Status,Eng Prof,reading,pct,Shorewood,Shorewood High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Milwaukee,Riverside High,2019-20,0.0,0.0,13.0435,15.2,,280.0,322.0,
act,Race/Ethnicity,Hispanic,reading,pct,Milwaukee,Reagan College Preparatory High,2019-20,0.0,0.0,2.2727,20.1,,215.0,220.0,
act,Race/Ethnicity,Black,reading,pct,Milwaukee,Reagan College Preparatory High,2019-20,0.0,0.0,4.1667,19.9,,23.0,24.0,
act,Race/Ethnicity,Asian,reading,pct,Milwaukee,Reagan College Preparatory High,2019-20,0.0,0.0,0.0,22.7,,19.0,19.0,
act,Gender,Male,reading,pct,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2019-20,0.0,0.0,7.1429,15.4,,26.0,28.0,
act,All Students,All Students,reading,pct,Milwaukee,Shalom High,2019-20,0.0,0.0,31.8182,12.9,,15.0,22.0,
act,Migrant Status,Not Migrant,reading,pct,Milwaukee,South Accelerated Academy,2019-20,0.0,0.0,57.1429,13.0,,3.0,7.0,
act,Gender,Female,reading,pct,Milwaukee,Milwaukee School of Languages,2019-20,0.0,0.0,5.3333,17.8,,71.0,75.0,
act,Gender,Female,reading,pct,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2019-20,0.0,0.0,17.2414,15.2,,24.0,29.0,
act,Race/Ethnicity,Amer Indian,reading,pct,Milwaukee,Golda Meir School,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,Black,reading,pct,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,2019-20,0.0,0.0,12.2807,15.3,,50.0,57.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,Hamilton High,2019-20,0.0,0.0,19.7917,15.5,,154.0,192.0,
act,All Students,All Students,reading,pct,Milwaukee,Milwaukee High School of the Arts,2019-20,0.0,0.0,35.8382,17.7,,111.0,173.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,WHS Information Technology,2019-20,0.0,0.0,42.268,13.7,,56.0,97.0,
act,Gender,Male,reading,pct,Escuela Verde,Escuela Verde,2019-20,0.0,0.0,0.0,15.6,,18.0,18.0,
act,Gender,Female,reading,pct,Escuela Verde,Escuela Verde,2019-20,0.0,0.0,16.6667,15.2,,10.0,12.0,
act,All Students,All Students,reading,pct,Milwaukee,Milwaukee School of Languages,2019-20,0.0,0.0,12.3288,17.5,,128.0,146.0,
act,Economic Status,Econ Disadv,reading,pct,Milwaukee,King International,2019-20,0.0,0.0,5.7915,19.9,,244.0,259.0,
act,EL Status,EL,reading,pct,Milwaukee,WHS Information Technology,2019-20,0.0,0.0,8.3333,11.2,,11.0,12.0,
act,Race/Ethnicity,Black,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,White,reading,pct,Milwaukee,Hamilton High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Migrant Status,Not Migrant,reading,pct,Milwaukee,Reagan College Preparatory High,2019-20,0.0,0.0,2.7397,21.3,,355.0,365.0,
act,All Students,All Students,reading,pct,Milwaukee,NOVA-Northwest Opportunities Vocational Academy,2019-20,0.0,0.0,27.2727,10.9,,16.0,22.0,
act,Race/Ethnicity,Hispanic,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,Two or More,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Race/Ethnicity,White,reading,pct,West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,2019-20,0.0,0.0,22.2222,15.6,,21.0,27.0,
act,Race/Ethnicity,Two or More,reading,pct,Milwaukee,Hamilton High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Milwaukee,North Division High,2019-20,0.0,0.0,48.6486,13.9,,19.0,37.0,
act,Disability Status,SwD,reading,pct,Milwaukee,Golda Meir School,2019-20,0.0,0.0,0.0,14.9,,14.0,14.0,
act,Race/Ethnicity,White,reading,pct,Milwaukee,South Division High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Economic Status,Not Econ Disadv,reading,pct,Milwaukee,King International,2019-20,0.0,0.0,9.009,20.6,,101.0,111.0,
act,Race/Ethnicity,Hispanic,reading,pct,Milwaukee,Hamilton High,2019-20,0.0,0.0,17.2043,15.7,,77.0,93.0,
act,Race/Ethnicity,Asian,reading,pct,Milwaukee,Golda Meir School,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Milwaukee,Obama School of Career and Technical Education,2019-20,0.0,0.0,29.5775,13.3,,50.0,71.0,
act,Gender,Male,reading,pct,Milwaukee,Transition High,2019-20,0.0,0.0,87.5,13.0,,1.0,8.0,
act,All Students,All Students,reading,pct,Saint Francis,Saint Francis High,2019-20,0.0,0.0,3.5398,17.0,,109.0,113.0,
act,Race/Ethnicity,Amer Indian,reading,pct,Milwaukee,Reagan College Preparatory High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Economic Status,Econ Disadv,reading,pct,Whitnall,Whitnall High,2019-20,0.0,0.0,14.8936,20.3,,40.0,47.0,
act,Race/Ethnicity,Two or More,reading,pct,West Allis-West Milwaukee,Nathan Hale High,2019-20,0.0,0.0,0.0,18.6,,13.0,13.0,
act,Race/Ethnicity,Amer Indian,reading,pct,Oak Creek-Franklin Joint,Oak Creek High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Migrant Status,Not Migrant,reading,pct,Milwaukee,Transition High,2019-20,0.0,0.0,83.3333,12.8,,5.0,30.0,
act,All Students,All Students,reading,pct,Milwaukee Academy of Science,Milwaukee Academy of Science,2019-20,0.0,0.0,21.6216,16.0,,29.0,37.0,
act,Race/Ethnicity,White,reading,pct,West Allis-West Milwaukee,Nathan Hale High,2019-20,0.0,0.0,6.25,20.5,,180.0,192.0,
act,Economic Status,Econ Disadv,reading,pct,Milwaukee,Golda Meir School,2019-20,0.0,0.0,1.3158,17.2,,75.0,76.0,
act,Race/Ethnicity,Asian,reading,pct,Oak Creek-Franklin Joint,Oak Creek High,2019-20,0.0,0.0,3.0303,19.2,,32.0,33.0,
act,Gender,Male,reading,pct,Cudahy,Cudahy High,2019-20,0.0,0.0,6.7961,17.0,,96.0,103.0,
act,Economic Status,Not Econ Disadv,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Nicolet Union High School,Nicolet High,2019-20,0.0,0.0,10.3448,23.4,,234.0,261.0,
act,Gender,Female,reading,pct,Cudahy,Cudahy High,2019-20,0.0,0.0,3.7975,17.9,,76.0,79.0,
act,Economic Status,Econ Disadv,reading,pct,Whitefish Bay,Whitefish Bay High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,EL Status,EL,reading,pct,Milwaukee,James Madison Academic Campus,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Oak Creek-Franklin Joint,Oak Creek High,2019-20,0.0,0.0,5.4688,19.4,,484.0,512.0,
act,Migrant Status,Not Migrant,reading,pct,Milwaukee,Vincent Accelerated Academy,2019-20,0.0,0.0,100.0,,,,14.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,James Madison Academic Campus,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Economic Status,Not Econ Disadv,reading,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,2019-20,0.0,0.0,0.0,15.0,,11.0,11.0,
act,Race/Ethnicity,Black,reading,pct,Oak Creek-Franklin Joint,Oak Creek High,2019-20,0.0,0.0,14.2857,14.3,,18.0,21.0,
act,All Students,All Students,reading,pct,Pathways High,Pathways High,2019-20,0.0,0.0,0.0,17.3,,35.0,35.0,
act,Economic Status,Econ Disadv,reading,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,2019-20,0.0,0.0,2.6667,15.1,,73.0,75.0,
act,EL Status,Eng Prof,reading,pct,Milwaukee,Transition High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,Migrant Status,Not Migrant,reading,pct,Milwaukee,WHS Information Technology,2019-20,0.0,0.0,38.5321,13.3,,67.0,109.0,
act,Race/Ethnicity,Hispanic,reading,pct,Oak Creek-Franklin Joint,Oak Creek High,2019-20,0.0,0.0,5.4795,17.6,,69.0,73.0,
act,Race/Ethnicity,Hispanic,reading,pct,West Allis-West Milwaukee,Nathan Hale High,2019-20,0.0,0.0,8.1967,18.0,,56.0,61.0,
act,Economic Status,Not Econ Disadv,reading,pct,Whitnall,Whitnall High,2019-20,0.0,0.0,4.4304,21.4,,151.0,158.0,
act,All Students,All Students,reading,pct,Milwaukee,Wisconsin Conservatory of Lifelong Learning,2019-20,0.0,0.0,34.6154,14.1,,17.0,26.0,
act,Race/Ethnicity,Amer Indian,reading,pct,Milwaukee,Audubon Technology and Communication High,2019-20,,,,,fully_suppressed,,,Suppressed by DPI (whole group redacted) — not zero
act,All Students,All Students,reading,pct,Milwaukee,South Accelerated Academy,2019-20,0.0,0.0,57.1429,13.0,,3.0,7.0,
