metric,district,school,group,year,value,yoy_change,pct_change,status_flag
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2023-24,7.2,-2.9,-28.7,
chronic_absenteeism,Franklin Public,Pleasant View Elementary,Pleasant View Elementary — All Students,2024-25,9.4,2.2,30.6,
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2018-19,3.3,,,
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2019-20,5.0,1.7,51.5,
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2020-21,2.8,-2.2,-44.0,
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2021-22,4.7,1.9,67.9,
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2022-23,9.1,4.4,93.6,
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2023-24,8.8,-0.3,-3.3,
chronic_absenteeism,Franklin Public,Robinwood Elementary,Robinwood Elementary — All Students,2024-25,7.2,-1.6,-18.2,
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2018-19,2.4,,,
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2019-20,3.8,1.4,58.3,
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2020-21,1.4,-2.4,-63.2,
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2021-22,3.4,2.0,142.9,
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2022-23,6.6,3.2,94.1,
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2023-24,7.8,1.2,18.2,
chronic_absenteeism,Franklin Public,Southwood Glen Elementary,Southwood Glen Elementary — All Students,2024-25,5.2,-2.6,-33.3,
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2018-19,8.4,,,
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2019-20,7.1,-1.3,-15.5,
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2020-21,2.8,-4.3,-60.6,
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2021-22,9.8,7.0,250.0,
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2022-23,13.6,3.8,38.8,
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2023-24,10.0,-3.6,-26.5,
chronic_absenteeism,Glendale-River Hills,Glen Hills Middle,Glen Hills Middle — All Students,2024-25,10.1,0.1,1.0,
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2018-19,8.2,,,
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2020-21,2.8,-5.4,-65.9,
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2021-22,11.2,8.4,300.0,
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2022-23,13.4,2.2,19.6,
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2023-24,17.0,3.6,26.9,
chronic_absenteeism,Glendale-River Hills,Parkway Elementary,Parkway Elementary — All Students,2024-25,7.4,-9.6,-56.5,
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2018-19,4.0,,,
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2019-20,6.6,2.6,65.0,
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2020-21,100.0,93.4,1415.2,
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2021-22,3.0,-97.0,-97.0,
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2022-23,4.9,1.9,63.3,
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2023-24,4.3,-0.6,-12.2,
chronic_absenteeism,Greendale,Canterbury Elementary,Canterbury Elementary — All Students,2024-25,2.3,-2.0,-46.5,
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2018-19,2.2,,,
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2019-20,5.5,3.3,150.0,
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2020-21,14.1,8.6,156.4,
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2021-22,1.1,-13.0,-92.2,
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2022-23,2.3,1.2,109.1,
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2023-24,1.5,-0.8,-34.8,
chronic_absenteeism,Greendale,College Park Elementary,College Park Elementary — All Students,2024-25,2.6,1.1,73.3,
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2018-19,4.0,,,
chronic_absenteeism,Greendale,Greendale High,Greendale High — All Students,2019-20,5.1,1.1,27.5,
