metric,group,year,value,pct_change
discipline,Greendale — All Students,2019-20,124.0,-37.4
discipline,Greendale — All Students,2020-21,42.0,-66.1
discipline,Greendale — All Students,2021-22,128.0,204.8
discipline,Greendale — All Students,2022-23,242.0,89.1
discipline,Greendale — All Students,2023-24,190.0,-21.5
discipline,Greendale — All Students,2024-25,244.0,28.4
discipline,Greenfield — All Students,2019-20,356.0,-25.5
discipline,Greenfield — All Students,2020-21,216.0,-39.3
discipline,Greenfield — All Students,2021-22,658.0,204.6
discipline,Greenfield — All Students,2022-23,772.0,17.3
discipline,Greenfield — All Students,2023-24,1010.0,30.8
discipline,Maple Dale-Indian Hill — All Students,2019-20,30.0,50.0
discipline,Maple Dale-Indian Hill — All Students,2020-21,0.0,-100.0
discipline,Maple Dale-Indian Hill — All Students,2021-22,38.0,inf
discipline,Maple Dale-Indian Hill — All Students,2022-23,18.0,-52.6
discipline,Maple Dale-Indian Hill — All Students,2023-24,22.0,22.2
discipline,Milwaukee — All Students,2019-20,33058.0,-28.6
discipline,Milwaukee — All Students,2020-21,18.0,-99.9
discipline,Milwaukee — All Students,2021-22,47615.0,264427.8
discipline,Milwaukee Academy of Science — All Students,2019-20,826.0,15.7
discipline,Milwaukee Academy of Science — All Students,2020-21,4.0,-99.5
discipline,Milwaukee Academy of Science — All Students,2021-22,1336.0,33300.0
discipline,Milwaukee Math and Science Academy — All Students,2019-20,150.0,-62.9
discipline,Milwaukee Math and Science Academy — All Students,2020-21,0.0,-100.0
discipline,Milwaukee Scholars Charter School — All Students,2019-20,372.0,-54.7
discipline,Milwaukee Scholars Charter School — All Students,2020-21,0.0,-100.0
discipline,Milwaukee Scholars Charter School — All Students,2021-22,266.0,inf
discipline,Milwaukee Scholars Charter School Inc — All Students,2024-25,2232.0,62.0
discipline,Milwaukee Science Education Consortium Inc — All Students,2024-25,1520.0,56.4
discipline,Nicolet UHS — All Students,2020-21,14.0,-80.6
discipline,Nicolet Union High School — All Students,2022-23,72.0,-49.3
discipline,Nicolet Union High School — All Students,2023-24,50.0,-30.6
discipline,Nicolet Union High School — All Students,2024-25,116.0,132.0
discipline,Oak Creek-Franklin Joint — All Students,2019-20,556.0,-40.3
discipline,Oak Creek-Franklin Joint — All Students,2020-21,288.0,-48.2
discipline,Oak Creek-Franklin Joint — All Students,2021-22,736.0,155.6
discipline,Oak Creek-Franklin Joint — All Students,2022-23,874.0,18.8
discipline,Oak Creek-Franklin Joint — All Students,2023-24,732.0,-16.2
discipline,Rocketship Education Wisconsin Inc — All Students,2019-20,10.0,-50.0
discipline,Rocketship Education Wisconsin Inc — All Students,2020-21,0.0,-100.0
discipline,Rocketship Education Wisconsin Inc — All Students,2023-24,210.0,inf
discipline,Rocketship Education Wisconsin Inc — All Students,2024-25,118.0,-43.8
discipline,Saint Francis — All Students,2019-20,206.0,-32.2
discipline,Saint Francis — All Students,2020-21,72.0,-65.0
discipline,Saint Francis — All Students,2021-22,238.0,230.6
discipline,Saint Francis — All Students,2022-23,202.0,-15.1
discipline,Saint Francis — All Students,2024-25,256.0,47.1
discipline,Seeds of Health Inc — All Students,2019-20,206.0,35.5
discipline,Seeds of Health Inc — All Students,2020-21,12.0,-94.2
discipline,Seeds of Health Inc — All Students,2021-22,226.0,1783.3
discipline,Seeds of Health Inc — All Students,2022-23,386.0,70.8
discipline,Seeds of Health Inc — All Students,2023-24,282.0,-26.9
discipline,Shorewood — All Students,2020-21,0.0,-100.0
discipline,Shorewood — All Students,2021-22,168.0,inf
discipline,Shorewood — All Students,2023-24,92.0,-46.5
discipline,South Milwaukee — All Students,2020-21,94.0,-80.7
discipline,South Milwaukee — All Students,2021-22,632.0,572.3
discipline,South Milwaukee — All Students,2023-24,680.0,16.8
discipline,South Milwaukee — All Students,2024-25,1028.0,51.2
