metric,dimension,group,district,school,year,value,share,status_flag
enrollment,Disability Status,SwD,Cudahy,Mitchell Elementary,2018-19,41.0,0.168,
enrollment,Disability Status,SwoD,Cudahy,Mitchell Elementary,2018-19,203.0,0.832,
enrollment,Disability Status,SwD,Cudahy,Mitchell Elementary,2019-20,42.0,0.1883,
enrollment,Disability Status,SwoD,Cudahy,Mitchell Elementary,2019-20,181.0,0.8117,
enrollment,Disability Status,SwD,Cudahy,Mitchell Elementary,2020-21,42.0,0.1787,
enrollment,Disability Status,SwoD,Cudahy,Mitchell Elementary,2020-21,193.0,0.8213,
enrollment,Disability Status,SwD,Cudahy,Mitchell Elementary,2021-22,49.0,0.1907,
enrollment,Disability Status,SwoD,Cudahy,Mitchell Elementary,2021-22,208.0,0.8093,
enrollment,Disability Status,SwD,Cudahy,Mitchell Elementary,2022-23,79.0,0.201,
enrollment,Disability Status,SwoD,Cudahy,Mitchell Elementary,2022-23,314.0,0.799,
enrollment,Disability Status,SwD,Cudahy,Mitchell Elementary,2023-24,88.0,0.2136,
enrollment,Disability Status,SwoD,Cudahy,Mitchell Elementary,2023-24,324.0,0.7864,
enrollment,Disability Status,SwD,Cudahy,Mitchell Elementary,2024-25,86.0,0.2134,
enrollment,Disability Status,SwoD,Cudahy,Mitchell Elementary,2024-25,317.0,0.7866,
enrollment,Disability Status,SwD,Cudahy,Park View Elementary,2018-19,47.0,0.2035,
enrollment,Disability Status,SwoD,Cudahy,Park View Elementary,2018-19,184.0,0.7965,
enrollment,Disability Status,SwD,Cudahy,Park View Elementary,2019-20,43.0,0.2057,
enrollment,Disability Status,SwoD,Cudahy,Park View Elementary,2019-20,166.0,0.7943,
enrollment,Disability Status,SwD,Cudahy,Park View Elementary,2020-21,30.0,0.1786,
enrollment,Disability Status,SwoD,Cudahy,Park View Elementary,2020-21,138.0,0.8214,
enrollment,Disability Status,SwD,Cudahy,Park View Elementary,2021-22,27.0,0.2093,
enrollment,Disability Status,SwoD,Cudahy,Park View Elementary,2021-22,102.0,0.7907,
enrollment,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2018-19,28.0,0.1014,
enrollment,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2018-19,248.0,0.8986,
enrollment,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2019-20,30.0,0.1172,
enrollment,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2019-20,226.0,0.8828,
enrollment,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2020-21,13.0,0.0578,
enrollment,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2020-21,212.0,0.9422,
enrollment,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2021-22,18.0,0.0905,
enrollment,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2021-22,181.0,0.9095,
enrollment,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2022-23,27.0,0.1406,
enrollment,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2022-23,165.0,0.8594,
enrollment,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2023-24,23.0,0.1337,
enrollment,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2023-24,149.0,0.8663,
enrollment,Disability Status,SwD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2024-25,17.0,0.0944,
enrollment,Disability Status,SwoD,Darrell L. Hines Academy,Darrell Lynn Hines Academy,2024-25,163.0,0.9056,
enrollment,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2018-19,16.0,0.0535,
enrollment,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2018-19,283.0,0.9465,
enrollment,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2019-20,13.0,0.0415,
enrollment,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2019-20,300.0,0.9585,
enrollment,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2020-21,13.0,0.0445,
enrollment,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2020-21,279.0,0.9555,
enrollment,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2021-22,13.0,0.0539,
enrollment,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2021-22,228.0,0.9461,
enrollment,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2022-23,16.0,0.0667,
enrollment,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2022-23,224.0,0.9333,
enrollment,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2023-24,19.0,0.0795,
enrollment,Disability Status,SwoD,Downtown Montessori Academy,Downtown Montessori,2023-24,220.0,0.9205,
enrollment,Disability Status,SwD,Downtown Montessori Academy,Downtown Montessori,2024-25,19.0,0.0872,
