metric,category,unit,district,school,group,year,value,yoy_change,pct_change,status_flag,enrollment
discipline,expulsion,count,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2023-24,0.0,0.0,,Zero expulsions reported,1404.0
discipline,expulsion,count,Milwaukee Science Education Consortium,Milwaukee Academy of Science,Milwaukee Academy of Science — All Students,2024-25,1.0,1.0,,,1711.0
discipline,all,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2018-19,4.73,,,Small count (<10 removals) — rate imprecise,148.0
discipline,all,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2019-20,3.16,-1.5700000000000003,-33.192389006342495,Small count (<10 removals) — rate imprecise,190.0
discipline,all,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2020-21,0.0,-3.16,-100.0,Zero suspensions/expulsions reported,239.0
discipline,all,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2021-22,9.62,9.62,,,260.0
discipline,all,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2022-23,16.74,7.119999999999999,74.01247401247402,"Authorizer/reporting changed to Carmen High School of Science and Technology, 2022-23",233.0
discipline,all,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2023-24,6.45,-10.29,-61.469534050179206,,217.0
discipline,all,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2024-25,4.74,-1.71,-26.51162790697674,Small count (<10 removals) — rate imprecise,190.0
discipline,suspension,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2018-19,4.73,,,Small count (<10 removals) — rate imprecise,148.0
discipline,suspension,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2019-20,3.16,-1.5700000000000003,-33.192389006342495,Small count (<10 removals) — rate imprecise,190.0
discipline,suspension,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2020-21,0.0,-3.16,-100.0,Zero out-of-school suspensions reported,239.0
discipline,suspension,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2021-22,9.62,9.62,,,260.0
discipline,suspension,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2022-23,16.74,7.119999999999999,74.01247401247402,"Authorizer/reporting changed to Carmen High School of Science and Technology, 2022-23",233.0
discipline,suspension,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2023-24,6.45,-10.29,-61.469534050179206,,217.0
discipline,suspension,rate,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2024-25,4.74,-1.71,-26.51162790697674,Small count (<10 removals) — rate imprecise,190.0
discipline,expulsion,count,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2018-19,0.0,,,Zero expulsions reported,148.0
discipline,expulsion,count,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2019-20,0.0,0.0,,Zero expulsions reported,190.0
discipline,expulsion,count,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2020-21,0.0,0.0,,Zero expulsions reported,239.0
discipline,expulsion,count,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2021-22,0.0,0.0,,Zero expulsions reported,260.0
discipline,expulsion,count,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2022-23,0.0,0.0,,"Authorizer/reporting changed to Carmen High School of Science and Technology, 2022-23; Zero expulsions reported",233.0
discipline,expulsion,count,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2023-24,0.0,0.0,,Zero expulsions reported,217.0
discipline,expulsion,count,Carmen High School of Science and Technology,Stellar Collegiate Charter School,Stellar Collegiate Charter School — All Students,2024-25,0.0,0.0,,Zero expulsions reported,190.0
discipline,all,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2018-19,28.57,,,,168.0
discipline,all,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2019-20,12.92,-15.65,-54.77773888694435,,178.0
discipline,all,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2020-21,2.37,-10.55,-81.656346749226,Small count (<10 removals) — rate imprecise,211.0
discipline,all,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2021-22,0.48,-1.8900000000000001,-79.74683544303798,Small count (<10 removals) — rate imprecise,209.0
discipline,all,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2022-23,0.53,0.050000000000000044,10.416666666666675,"Authorizer/reporting changed to United Community Center, 2022-23; Small count (<10 removals) — rate imprecise",188.0
discipline,all,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2023-24,15.0,14.47,2730.188679245283,,180.0
discipline,all,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2024-25,7.45,-7.55,-50.33333333333333,,188.0
discipline,suspension,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2018-19,28.57,,,,168.0
discipline,suspension,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2019-20,12.92,-15.65,-54.77773888694435,,178.0
discipline,suspension,rate,United Community Center,United Community Center Acosta Middle School,United Community Center Acosta Middle School — All Students,2020-21,2.37,-10.55,-81.656346749226,Small count (<10 removals) — rate imprecise,211.0
