metric,subject,dimension,district,school,year,focus_group,focus_rate,reference_group,reference_rate,focus_reference_ratio,highest_group,highest_rate,lowest_group,lowest_rate,high_low_ratio
forward,ela,Disability Status,Milwaukee,Fernwood Montessori,2024-25,SwoD,77.8,SwD,33.3,2.34,SwoD,77.8,SwD,33.3,2.34
forward,ela,Disability Status,Milwaukee,Humboldt Park Elementary,2024-25,SwoD,38.9,SwD,16.7,2.33,SwoD,38.9,SwD,16.7,2.33
forward,ela,Disability Status,Milwaukee,Bay View Montessori School,2024-25,SwoD,64.9,SwD,28.6,2.27,SwoD,64.9,SwD,28.6,2.27
forward,ela,Disability Status,Milwaukee,Highland Community School,2024-25,SwoD,72.5,SwD,32.0,2.27,SwoD,72.5,SwD,32.0,2.27
forward,ela,Disability Status,Whitnall,Edgerton Elementary,2024-25,SwoD,82.9,SwD,37.5,2.21,SwoD,82.9,SwD,37.5,2.21
forward,ela,Disability Status,Maple Dale-Indian Hill,Maple Dale School,2024-25,SwoD,79.8,SwD,37.0,2.16,SwoD,79.8,SwD,37.0,2.16
forward,ela,Disability Status,Milwaukee,Milwaukee Spanish Immersion,2024-25,SwoD,29.5,SwD,13.8,2.14,SwoD,29.5,SwD,13.8,2.14
forward,ela,Disability Status,Oak Creek-Franklin Joint,Cedar Hills Elementary,2024-25,SwoD,62.4,SwD,29.2,2.14,SwoD,62.4,SwD,29.2,2.14
forward,ela,Disability Status,Milwaukee,Maryland Montessori,2024-25,SwoD,76.6,SwD,36.8,2.08,SwoD,76.6,SwD,36.8,2.08
forward,ela,Disability Status,Whitefish Bay,Whitefish Bay Middle,2024-25,SwoD,92.0,SwD,44.9,2.05,SwoD,92.0,SwD,44.9,2.05
forward,ela,Disability Status,Milwaukee,Clement Avenue Elementary,2024-25,SwoD,31.4,SwD,17.2,1.83,SwoD,31.4,SwD,17.2,1.83
forward,ela,Disability Status,Greenfield,Edgewood Elementary,2024-25,SwoD,64.1,SwD,36.4,1.76,SwoD,64.1,SwD,36.4,1.76
forward,ela,Disability Status,Shorewood,Lake Bluff Elementary,2024-25,SwoD,83.2,SwD,47.8,1.74,SwoD,83.2,SwD,47.8,1.74
forward,ela,Disability Status,Milwaukee,Roosevelt Middle,2024-25,SwoD,17.8,SwD,10.5,1.7,SwoD,17.8,SwD,10.5,1.7
forward,ela,Disability Status,Wauwatosa,Roosevelt Elementary,2024-25,SwoD,79.0,SwD,50.0,1.58,SwoD,79.0,SwD,50.0,1.58
forward,ela,Disability Status,Whitefish Bay,Cumberland Elementary,2024-25,SwoD,85.4,SwD,54.3,1.57,SwoD,85.4,SwD,54.3,1.57
forward,ela,Disability Status,Wauwatosa,Longfellow Middle,2024-25,SwoD,77.6,SwD,50.0,1.55,SwoD,77.6,SwD,50.0,1.55
forward,ela,Disability Status,Whitefish Bay,Richards Elementary,2024-25,SwoD,91.3,SwD,60.0,1.52,SwoD,91.3,SwD,60.0,1.52
forward,ela,Disability Status,Milwaukee,Golda Meir School,2024-25,SwoD,70.7,SwD,46.9,1.51,SwoD,70.7,SwD,46.9,1.51
forward,ela,Disability Status,Wauwatosa,Lincoln Elementary,2024-25,SwoD,83.2,SwD,58.3,1.43,SwoD,83.2,SwD,58.3,1.43
forward,ela,Disability Status,West Allis-West Milwaukee,West Milwaukee Intermediate,2024-25,SwD,46.8,SwoD,33.1,1.41,SwD,46.8,SwoD,33.1,1.41
forward,ela,Disability Status,Wauwatosa,Washington Elementary,2024-25,SwoD,72.1,SwD,52.4,1.38,SwoD,72.1,SwD,52.4,1.38
