metric,category,unit,direction,district,school,enrollment,prior_year,latest_year,prior_value,latest_value,change,pct_change
discipline,all,rate,decrease,Rocketship Education Wisconsin,Rocketship Transformation Prep,313,2023-24,2024-25,36.36,11.5,-24.86,-68.4
discipline,all,rate,decrease,Milwaukee,Hartford Avenue Elementary,256,2023-24,2024-25,86.58,61.72,-24.86,-28.7
discipline,all,rate,decrease,Milwaukee,Story Elementary,365,2023-24,2024-25,73.77,52.05,-21.72,-29.4
discipline,all,rate,decrease,Milwaukee,Milwaukee College Preparatory School -- Lloyd Street,492,2023-24,2024-25,54.3,37.4,-16.9,-31.1
discipline,expulsion,count,increase,Milwaukee Scholars Charter School,Milwaukee Scholars Charter School,696,2023-24,2024-25,10.0,19.0,9.0,90.0
discipline,expulsion,count,increase,Milwaukee,Milwaukee School of Languages,964,2023-24,2024-25,0.0,3.0,3.0,
discipline,expulsion,count,increase,Milwaukee,Wisconsin Conservatory of Lifelong Learning,286,2023-24,2024-25,0.0,3.0,3.0,
discipline,expulsion,count,increase,West Allis-West Milwaukee,Nathan Hale High,1134,2023-24,2024-25,1.0,4.0,3.0,300.0
discipline,expulsion,count,increase,West Allis-West Milwaukee,West Milwaukee Intermediate,378,2023-24,2024-25,0.0,3.0,3.0,
discipline,expulsion,count,increase,West Allis-West Milwaukee,Central High,961,2023-24,2024-25,1.0,3.0,2.0,200.0
discipline,expulsion,count,increase,Milwaukee,Browning Elementary,279,2023-24,2024-25,0.0,1.0,1.0,
discipline,expulsion,count,increase,Milwaukee,Grantosa Drive Elementary,506,2023-24,2024-25,0.0,1.0,1.0,
discipline,expulsion,count,increase,Milwaukee Science Education Consortium,Milwaukee Academy of Science,1711,2023-24,2024-25,0.0,1.0,1.0,
discipline,expulsion,count,increase,South Milwaukee,South Milwaukee High,920,2023-24,2024-25,0.0,1.0,1.0,
discipline,expulsion,count,increase,Milwaukee,Fifty-Third Street Elementary,308,2023-24,2024-25,0.0,1.0,1.0,
discipline,expulsion,count,increase,Milwaukee,Golda Meir School,1192,2023-24,2024-25,0.0,1.0,1.0,
discipline,expulsion,count,decrease,Dr. Howard Fuller Collegiate Academy,Dr Howard Fuller Collegiate Academy,608,2023-24,2024-25,47.0,29.0,-18.0,-38.3
discipline,expulsion,count,decrease,Milwaukee,Harold S Vincent School of Agricultural Science,611,2023-24,2024-25,6.0,0.0,-6.0,-100.0
