metric,dimension,group,subject,unit,district,school,year,value,pct_below,tested,status_flag
forward,Gender,Female,ela,pct,Wauwatosa,Underwood Elementary,2018-19,100.0,0.0,11,
forward,Gender,Male,ela,pct,Wauwatosa,Underwood Elementary,2018-19,100.0,0.0,6,
forward,Disability Status,SwoD,math,pct,Greendale,Greendale Middle,2018-19,100.0,0.0,51,
forward,Disability Status,SwD,math,pct,Greendale,Greendale Middle,2018-19,100.0,0.0,1,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,2018-19,100.0,0.0,30,
forward,Gender,Female,ela,pct,Wauwatosa,Washington Elementary,2018-19,100.0,0.0,9,
forward,Gender,Female,ela,pct,Wauwatosa,Wauwatosa Montessori School,2018-19,100.0,0.0,15,
forward,Gender,Male,ela,pct,Wauwatosa,Wauwatosa Montessori School,2018-19,100.0,0.0,6,
forward,Disability Status,SwoD,math,pct,Greendale,College Park Elementary,2018-19,100.0,0.0,46,
forward,Disability Status,SwD,math,pct,Greendale,College Park Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,ela,pct,Wauwatosa,Wauwatosa STEM,2018-19,100.0,0.0,9,
forward,Gender,Male,ela,pct,Wauwatosa,Wauwatosa STEM,2018-19,100.0,0.0,8,
forward,Gender,Female,ela,pct,Wauwatosa,Whitman Middle,2018-19,100.0,0.0,65,
forward,Gender,Male,ela,pct,Wauwatosa,Whitman Middle,2018-19,100.0,0.0,34,
forward,Disability Status,SwoD,math,pct,Greendale,Canterbury Elementary,2018-19,100.0,0.0,40,
forward,Disability Status,SwD,math,pct,Greendale,Canterbury Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,ela,pct,Wauwatosa,Wilson Elementary,2018-19,100.0,0.0,6,
forward,Gender,Male,ela,pct,Wauwatosa,Wilson Elementary,2018-19,100.0,0.0,1,
forward,Gender,Male,ela,pct,Wauwatosa,Washington Elementary,2018-19,100.0,0.0,5,
forward,Gender,Female,ela,pct,West Allis-West Milwaukee,Wilson Elementary,2018-19,100.0,0.0,8,
forward,Gender,Male,ela,pct,West Allis-West Milwaukee,Wilson Elementary,2018-19,100.0,0.0,5,
forward,Disability Status,SwoD,math,pct,Franklin Public,Forest Park Middle,2018-19,100.0,0.0,79,
forward,Gender,Male,math,pct,Bruce Guadalupe,Bruce Guadalupe,2018-19,100.0,0.0,18,
forward,Gender,Female,math,pct,Capitol West Academy,Capitol West Academy,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Capitol West Academy,Capitol West Academy,2018-19,100.0,0.0,1,
forward,Gender,Male,math,pct,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,Cudahy,Cudahy Middle,2018-19,100.0,0.0,4,
forward,Gender,Male,math,pct,Cudahy,Cudahy Middle,2018-19,100.0,0.0,5,
forward,Disability Status,SwD,math,pct,Cudahy,Mitchell Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Cudahy,Jones Elementary,2018-19,100.0,0.0,4,
forward,Gender,Male,math,pct,Cudahy,Jones Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Cudahy,Kosciuszko Elementary,2018-19,100.0,0.0,2,
forward,Disability Status,SwoD,math,pct,Cudahy,Lincoln Elementary,2018-19,100.0,0.0,8,
forward,Disability Status,SwD,math,pct,Cudahy,Lincoln Elementary,2018-19,100.0,0.0,1,
forward,Disability Status,SwoD,math,pct,Cudahy,Park View Elementary,2018-19,100.0,0.0,3,
forward,Gender,Female,math,pct,Cudahy,Lincoln Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Cudahy,Mitchell Elementary,2018-19,100.0,0.0,4,
forward,Gender,Male,math,pct,Cudahy,Mitchell Elementary,2018-19,100.0,0.0,6,
forward,Disability Status,SwoD,math,pct,Cudahy,Kosciuszko Elementary,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Cudahy,Park View Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Cudahy,Park View Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Downtown Montessori Academy,Downtown Montessori,2018-19,100.0,0.0,9,
forward,Gender,Male,math,pct,Downtown Montessori Academy,Downtown Montessori,2018-19,100.0,0.0,13,
forward,Gender,Female,math,pct,Fox Point J2,Bayside Middle,2018-19,100.0,0.0,30,
forward,Gender,Male,math,pct,Fox Point J2,Bayside Middle,2018-19,100.0,0.0,43,
forward,Disability Status,SwoD,math,pct,Cudahy,Cudahy Middle,2018-19,100.0,0.0,9,
forward,Gender,Female,math,pct,Fox Point J2,Stormonth Elementary,2018-19,100.0,0.0,22,
forward,Gender,Male,math,pct,Fox Point J2,Stormonth Elementary,2018-19,100.0,0.0,23,
forward,Gender,Male,math,pct,Cudahy,Lincoln Elementary,2018-19,100.0,0.0,7,
forward,Gender,Female,math,pct,Bruce Guadalupe,Bruce Guadalupe,2018-19,100.0,0.0,14,
forward,Disability Status,SwoD,math,pct,Downtown Montessori Academy,Downtown Montessori,2018-19,100.0,0.0,9,
forward,Gender,Male,math,pct,Brown Deer,Brown Deer Middle/High,2018-19,100.0,0.0,3,
forward,Disability Status,SwD,math,pct,Franklin Public,Forest Park Middle,2018-19,100.0,0.0,2,
forward,Gender,Female,ela,pct,Whitefish Bay,Cumberland Elementary,2018-19,100.0,0.0,32,
forward,Gender,Male,ela,pct,Whitefish Bay,Cumberland Elementary,2018-19,100.0,0.0,19,
forward,Gender,Female,ela,pct,Whitefish Bay,Richards Elementary,2018-19,100.0,0.0,25,
forward,Gender,Male,ela,pct,Whitefish Bay,Richards Elementary,2018-19,100.0,0.0,14,
forward,Disability Status,SwoD,math,pct,Franklin Public,Country Dale Elementary,2018-19,100.0,0.0,49,
forward,Disability Status,SwD,math,pct,Franklin Public,Country Dale Elementary,2018-19,100.0,0.0,1,
forward,Gender,Female,ela,pct,Whitefish Bay,Whitefish Bay Middle,2018-19,100.0,0.0,61,
forward,Gender,Male,ela,pct,Whitefish Bay,Whitefish Bay Middle,2018-19,100.0,0.0,55,
forward,Gender,Female,ela,pct,Whitnall,Edgerton Elementary,2018-19,100.0,0.0,20,
forward,Gender,Male,ela,pct,Whitnall,Edgerton Elementary,2018-19,100.0,0.0,22,
forward,Disability Status,SwoD,math,pct,Franklin Public,Ben Franklin Elementary,2018-19,100.0,0.0,25,
forward,Gender,Female,ela,pct,Whitnall,Hales Corners Elementary,2018-19,100.0,0.0,9,
forward,Gender,Male,ela,pct,Whitnall,Hales Corners Elementary,2018-19,100.0,0.0,9,
forward,Gender,Female,ela,pct,Whitnall,Whitnall Middle,2018-19,100.0,0.0,35,
forward,Gender,Male,ela,pct,Whitnall,Whitnall Middle,2018-19,100.0,0.0,14,
forward,Gender,Female,ela,pct,Woodlands School,Woodlands School,2018-19,100.0,0.0,18,
forward,Disability Status,SwoD,math,pct,Fox Point J2,Stormonth Elementary,2018-19,100.0,0.0,39,
forward,Disability Status,SwD,math,pct,Fox Point J2,Stormonth Elementary,2018-19,100.0,0.0,6,
forward,Gender,Male,ela,pct,Woodlands School,Woodlands School,2018-19,100.0,0.0,16,
forward,Gender,Female,ela,pct,Woodlands School - State Street Campus,Woodlands School - State Street Campus,2018-19,100.0,0.0,3,
forward,Gender,Male,ela,pct,Woodlands School - State Street Campus,Woodlands School - State Street Campus,2018-19,100.0,0.0,2,
forward,Gender,Female,math,pct,Brown Deer,Brown Deer Elementary,2018-19,100.0,0.0,11,
forward,Gender,Male,math,pct,Brown Deer,Brown Deer Elementary,2018-19,100.0,0.0,22,
forward,Disability Status,SwoD,math,pct,Fox Point J2,Bayside Middle,2018-19,100.0,0.0,72,
forward,Disability Status,SwD,math,pct,Fox Point J2,Bayside Middle,2018-19,100.0,0.0,1,
forward,Gender,Female,math,pct,Brown Deer,Brown Deer Middle/High,2018-19,100.0,0.0,5,
forward,Gender,Male,math,pct,Franklin Public,Ben Franklin Elementary,2018-19,100.0,0.0,14,
forward,Disability Status,SwoD,math,pct,Greenfield,Edgewood Elementary,2018-19,100.0,0.0,4,
forward,Gender,Male,math,pct,Milwaukee,Lowell International Elementary,2018-19,100.0,0.0,4,
forward,Disability Status,SwoD,ela,pct,West Allis-West Milwaukee,Hoover Elementary,2018-19,100.0,0.0,2,
forward,Gender,Male,math,pct,Wauwatosa,Wilson Elementary,2018-19,100.0,0.0,3,
