metric,dimension,group,unit,district,school,year,cohort_class,value,ext_rate,ext_timeframe,diploma,cohort_count,gap_reason,status_flag
hs_completion,Gender,Male,pct,Milwaukee,Hamilton High,2017-18,2018,78.2805,85.6481,7-Year rate,173.0,221.0,,
hs_completion,Gender,Female,pct,Greenfield,Greenfield High,2017-18,2018,92.8058,97.0803,7-Year rate,129.0,139.0,,
hs_completion,Gender,Male,pct,Greendale,Greendale High,2017-18,2018,97.0297,97.0297,7-Year rate,98.0,101.0,,
hs_completion,Gender,Female,pct,Greendale,Greendale High,2017-18,2018,96.2687,97.0149,7-Year rate,129.0,134.0,,
hs_completion,Gender,Male,pct,Franklin Public,Milwaukee County Correctional Facility South,2017-18,2018,,,,,52.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Gender,Female,pct,Franklin Public,Milwaukee County Correctional Facility South,2017-18,2018,,,,,2.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Gender,Male,pct,Franklin Public,Franklin High,2017-18,2018,96.6667,97.2222,7-Year rate,174.0,180.0,,
hs_completion,Gender,Female,pct,Franklin Public,Franklin High,2017-18,2018,98.3871,98.3957,7-Year rate,183.0,186.0,,
hs_completion,Gender,Male,pct,Escuela Verde,Escuela Verde,2017-18,2018,73.3333,84.6154,7-Year rate,11.0,15.0,,
hs_completion,Gender,Female,pct,Escuela Verde,Escuela Verde,2017-18,2018,66.6667,88.8889,7-Year rate,6.0,9.0,,
hs_completion,Gender,Male,pct,Cudahy,Cudahy High,2017-18,2018,89.7959,92.9293,7-Year rate,88.0,98.0,,
hs_completion,Gender,Male,pct,Greenfield,Greenfield High,2017-18,2018,84.3137,88.0795,7-Year rate,129.0,153.0,,
hs_completion,Gender,Female,pct,Cudahy,Cudahy High,2017-18,2018,92.7711,95.122,7-Year rate,77.0,83.0,,
hs_completion,Gender,Female,pct,Brown Deer,Brown Deer Middle/High,2017-18,2018,96.6102,96.6102,7-Year rate,57.0,59.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Whitnall,Whitnall High,2017-18,2018,96.9325,98.1707,7-Year rate,158.0,163.0,,
hs_completion,Economic Status,Econ Disadv,pct,Whitnall,Whitnall High,2017-18,2018,92.3077,98.0,7-Year rate,48.0,52.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,Whitefish Bay,Whitefish Bay High,2017-18,2018,93.8017,95.8506,7-Year rate,227.0,242.0,,
hs_completion,Economic Status,Econ Disadv,pct,Whitefish Bay,Whitefish Bay High,2017-18,2018,42.8571,42.8571,7-Year rate,3.0,7.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,West Allis-West Milwaukee,West Allis-West Milwaukee Learning Center,2017-18,2018,77.5,,,31.0,40.0,,
hs_completion,Economic Status,Econ Disadv,pct,West Allis-West Milwaukee,West Allis-West Milwaukee Learning Center,2017-18,2018,69.7248,,,76.0,109.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,West Allis-West Milwaukee,Nathan Hale High,2017-18,2018,99.1071,99.5536,7-Year rate,222.0,224.0,,
hs_completion,Economic Status,Econ Disadv,pct,West Allis-West Milwaukee,Nathan Hale High,2017-18,2018,92.3611,95.7447,7-Year rate,133.0,144.0,,
hs_completion,Economic Status,Not Econ Disadv,pct,West Allis-West Milwaukee,Central High,2017-18,2018,91.1392,93.9759,7-Year rate,72.0,79.0,,
hs_completion,Gender,Male,pct,Brown Deer,Brown Deer Middle/High,2017-18,2018,93.9394,96.9697,7-Year rate,62.0,66.0,,
hs_completion,Gender,Female,pct,Milwaukee,Harold S Vincent School of Agricultural Science,2017-18,2018,64.5455,66.9643,7-Year rate,71.0,110.0,,
hs_completion,Gender,Female,pct,Milwaukee,ASSATA High,2017-18,2018,27.2727,50.0,7-Year rate,6.0,22.0,,
hs_completion,Gender,Female,pct,Milwaukee,Alliance School of Milwaukee,2017-18,2018,78.5714,83.7209,7-Year rate,33.0,42.0,,
hs_completion,Gender,Female,pct,Milwaukee,Hamilton High,2017-18,2018,80.829,83.7696,7-Year rate,156.0,193.0,,
hs_completion,Gender,Male,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2017-18,2018,94.4444,97.1429,7-Year rate,34.0,36.0,,
hs_completion,Gender,Female,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2017-18,2018,100.0,100.0,7-Year rate,30.0,30.0,,
hs_completion,Gender,Male,pct,Milwaukee,Groppi High,2017-18,2018,25.8065,30.1887,7-Year rate,8.0,31.0,,
hs_completion,Gender,Female,pct,Milwaukee,Groppi High,2017-18,2018,38.4615,47.5,7-Year rate,15.0,39.0,,
hs_completion,Gender,Male,pct,Milwaukee,Grandview High,2017-18,2018,25.0,46.4286,7-Year rate,14.0,56.0,,
hs_completion,Gender,Female,pct,Milwaukee,Grandview High,2017-18,2018,39.7059,55.0725,7-Year rate,27.0,68.0,,
hs_completion,Gender,Male,pct,Milwaukee,Golda Meir School,2017-18,2018,90.9091,94.4444,7-Year rate,50.0,55.0,,
hs_completion,Gender,Female,pct,Milwaukee,Golda Meir School,2017-18,2018,94.0,97.9167,7-Year rate,47.0,50.0,,
hs_completion,Gender,Male,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,2017-18,2018,69.697,93.1034,7-Year rate,23.0,33.0,,
hs_completion,Gender,Male,pct,Milwaukee,ASSATA High,2017-18,2018,16.6667,47.0588,7-Year rate,3.0,18.0,,
hs_completion,Gender,Female,pct,Milwaukee,Carmen Middle/High School of Science and Technology Northwest Campus,2017-18,2018,76.6667,89.2857,7-Year rate,23.0,30.0,,
hs_completion,Gender,Female,pct,Milwaukee,Carmen High School of Science and Technology South Campus,2017-18,2018,85.3659,100.0,7-Year rate,35.0,41.0,,
hs_completion,Gender,Male,pct,Milwaukee,Bradley Technology High,2017-18,2018,68.595,76.8595,7-Year rate,83.0,121.0,,
hs_completion,Gender,Female,pct,Milwaukee,Bradley Technology High,2017-18,2018,73.5294,76.4151,7-Year rate,75.0,102.0,,
hs_completion,Gender,Male,pct,Milwaukee,Bay View High,2017-18,2018,62.1359,74.1935,7-Year rate,64.0,103.0,,
hs_completion,Gender,Female,pct,Milwaukee,Bay View High,2017-18,2018,65.9341,78.3133,7-Year rate,60.0,91.0,,
hs_completion,Gender,Male,pct,Milwaukee,Banner Preparatory School of Milwaukee,2017-18,2018,15.3846,55.5556,7-Year rate,2.0,13.0,,
hs_completion,Gender,Female,pct,Milwaukee,Banner Preparatory School of Milwaukee,2017-18,2018,54.5455,60.0,7-Year rate,6.0,11.0,,
